dev_esp32,timestamp,altitude,latitude,longitude
esp32_device_001,2025-07-07T01:35:04,0,-36.604809,174.802597
esp32_device_001,2025-07-07T01:35:13,68.5,-36.604797,174.802612
esp32_device_001,2025-07-07T01:35:18,71.3,-36.60479,174.802628
esp32_device_001,2025-07-07T01:35:23,73.4,-36.604786,174.802628
esp32_device_001,2025-07-07T01:35:28,72.7,-36.604782,174.802612
esp32_device_001,2025-07-07T01:35:33,70.3,-36.604782,174.802597
esp32_device_001,2025-07-07T01:36:38,58.4,-36.604767,174.802582
esp32_device_001,2025-07-07T01:36:43,57.3,-36.604767,174.802582
esp32_device_001,2025-07-07T01:36:48,56.9,-36.604771,174.802582
esp32_device_001,2025-07-07T01:36:53,56.8,-36.604771,174.802582
esp32_device_001,2025-07-07T01:36:58,56.5,-36.604774,174.802582
esp32_device_001,2025-07-07T01:37:03,56.7,-36.604774,174.802582
esp32_device_001,2025-07-07T01:37:53,59.9,-36.604782,174.802597
esp32_device_001,2025-07-07T01:38:59,52.6,-36.604774,174.802612
esp32_device_001,2025-07-07T01:39:07,52.3,-36.604771,174.802612
esp32_device_001,2025-07-07T01:39:12,52.3,-36.604771,174.802612
esp32_device_001,2025-07-07T01:39:17,52.2,-36.604767,174.802612
esp32_device_001,2025-07-07T01:39:22,52.2,-36.604767,174.802612
esp32_device_001,2025-07-07T01:39:27,51.9,-36.604767,174.802597
esp32_device_001,2025-07-07T01:39:32,51.4,-36.604771,174.802597
esp32_device_001,2025-07-07T01:39:37,52,-36.604771,174.802597
esp32_device_001,2025-07-07T01:39:42,52.1,-36.604771,174.802597
esp32_device_001,2025-07-07T01:39:47,52.3,-36.604774,174.802597
esp32_device_001,2025-07-07T01:39:52,52.7,-36.604774,174.802582
esp32_device_001,2025-07-07T01:39:57,53.2,-36.604778,174.802582
esp32_device_001,2025-07-07T01:40:02,53.1,-36.604782,174.802582
esp32_device_001,2025-07-07T01:40:07,52.9,-36.604786,174.802567
esp32_device_001,2025-07-07T01:40:12,52.7,-36.60479,174.802567
esp32_device_001,2025-07-07T01:40:17,52.9,-36.604794,174.802567
esp32_device_001,2025-07-07T01:40:22,53.2,-36.604794,174.802567
esp32_device_001,2025-07-07T01:40:27,53.2,-36.604797,174.802567
esp32_device_001,2025-07-07T01:40:32,53.5,-36.604801,174.802551
esp32_device_001,2025-07-07T01:40:37,54.3,-36.604809,174.802551
esp32_device_001,2025-07-07T01:40:42,55.5,-36.604809,174.802551
esp32_device_001,2025-07-07T01:40:47,56.4,-36.604813,174.802551
esp32_device_001,2025-07-07T01:40:52,57.2,-36.604813,174.802551
esp32_device_001,2025-07-07T01:40:57,57.5,-36.604816,174.802536
esp32_device_001,2025-07-07T01:41:02,57.9,-36.604816,174.802536
esp32_device_001,2025-07-07T01:41:07,57.9,-36.604813,174.802551
esp32_device_001,2025-07-07T01:41:12,58.1,-36.604813,174.802551
esp32_device_001,2025-07-07T01:41:17,57.9,-36.604809,174.802551
esp32_device_001,2025-07-07T01:41:22,57.4,-36.604805,174.802551
esp32_device_001,2025-07-07T01:41:27,56.6,-36.604805,174.802551
esp32_device_001,2025-07-07T01:41:32,55.7,-36.604805,174.802551
esp32_device_001,2025-07-07T01:41:37,55.6,-36.604805,174.802551
esp32_device_001,2025-07-07T01:41:42,55.6,-36.604805,174.802551
esp32_device_001,2025-07-07T01:41:47,56.1,-36.604801,174.802551
esp32_device_001,2025-07-07T01:41:52,56.6,-36.604801,174.802551
esp32_device_001,2025-07-07T01:41:57,56.5,-36.604801,174.802551
esp32_device_001,2025-07-07T01:42:28,60.2,-36.604801,174.802536
esp32_device_001,2025-07-07T01:42:33,60.4,-36.60479,174.802551
esp32_device_001,2025-07-07T01:42:38,59.6,-36.604794,174.802551
esp32_device_001,2025-07-07T01:42:43,59.1,-36.604786,174.802551
esp32_device_001,2025-07-07T01:42:48,58.9,-36.60479,174.802551
esp32_device_001,2025-07-07T01:42:53,58.6,-36.604786,174.802551
esp32_device_001,2025-07-07T01:42:58,58,-36.604786,174.802567
esp32_device_001,2025-07-07T01:43:03,56.8,-36.60479,174.802567
esp32_device_001,2025-07-07T01:43:08,56.1,-36.604794,174.802567
esp32_device_001,2025-07-07T01:43:13,56,-36.604797,174.802567
esp32_device_001,2025-07-07T01:43:18,55.7,-36.604801,174.802567
esp32_device_001,2025-07-07T01:43:23,56,-36.604801,174.802567
esp32_device_001,2025-07-07T01:43:28,56.9,-36.604801,174.802567
esp32_device_001,2025-07-07T01:43:33,57.1,-36.604801,174.802567
esp32_device_001,2025-07-07T01:43:38,57.3,-36.604801,174.802567
esp32_device_001,2025-07-07T01:43:43,57.3,-36.604801,174.802551
