dev_esp32,timestamp,altitude,latitude,longitude
esp32_device_001,2025-10-09T01:07:39,15.1,-36.604607,174.80249
esp32_device_001,2025-10-09T01:07:44,19.6,-36.60463,174.802475
esp32_device_001,2025-10-09T01:07:49,19.1,-36.604633,174.802475
esp32_device_001,2025-10-09T01:07:54,22.1,-36.604637,174.802475
esp32_device_001,2025-10-09T01:07:59,28.4,-36.60466,174.802505
esp32_device_001,2025-10-09T01:08:04,22.1,-36.604614,174.802597
esp32_device_001,2025-10-09T01:08:09,20.9,-36.60458,174.802658
esp32_device_001,2025-10-09T01:08:14,25,-36.604568,174.802719
esp32_device_001,2025-10-09T01:08:19,24.4,-36.604557,174.802734
esp32_device_001,2025-10-09T01:08:24,26.7,-36.604553,174.80275
esp32_device_001,2025-10-09T01:08:29,27.7,-36.604534,174.802765
esp32_device_001,2025-10-09T01:08:34,27.7,-36.60458,174.802689
esp32_device_001,2025-10-09T01:08:39,27.7,-36.604301,174.802475
esp32_device_001,2025-10-09T01:08:44,27.7,-36.603939,174.802246
esp32_device_001,2025-10-09T01:08:49,27.7,-36.603703,174.802078
esp32_device_001,2025-10-09T01:08:54,27.7,-36.603554,174.80159
esp32_device_001,2025-10-09T01:08:59,27.7,-36.603378,174.800888
esp32_device_001,2025-10-09T01:09:04,27.7,-36.60318,174.800125
esp32_device_001,2025-10-09T01:09:09,27.7,-36.603111,174.799408
esp32_device_001,2025-10-09T01:09:14,27.7,-36.603416,174.798767
esp32_device_001,2025-10-09T01:09:19,27.7,-36.603786,174.79808
esp32_device_001,2025-10-09T01:09:24,27.7,-36.60416,174.797394
esp32_device_001,2025-10-09T01:09:29,27.7,-36.604504,174.796753
esp32_device_001,2025-10-09T01:09:34,27.7,-36.604755,174.796066
esp32_device_001,2025-10-09T01:09:39,27.7,-36.6049,174.795319
esp32_device_001,2025-10-09T01:09:44,27.7,-36.605057,174.794586
esp32_device_001,2025-10-09T01:09:49,27.7,-36.605198,174.793808
esp32_device_001,2025-10-09T01:09:54,27.7,-36.605137,174.793015
esp32_device_001,2025-10-09T01:09:59,27.7,-36.605049,174.792191
esp32_device_001,2025-10-09T01:10:04,27.7,-36.604939,174.791336
esp32_device_001,2025-10-09T01:10:09,27.7,-36.604877,174.790527
esp32_device_001,2025-10-09T01:10:14,27.7,-36.60495,174.789749
esp32_device_001,2025-10-09T01:10:19,27.7,-36.605061,174.78894
esp32_device_001,2025-10-09T01:10:24,27.7,-36.60516,174.788116
esp32_device_001,2025-10-09T01:10:29,27.7,-36.605267,174.787323
esp32_device_001,2025-10-09T01:10:34,27.7,-36.605434,174.786606
esp32_device_001,2025-10-09T01:10:39,27.7,-36.605827,174.786072
esp32_device_001,2025-10-09T01:10:44,27.7,-36.606335,174.785629
