dev_esp32,timestamp,altitude,latitude,longitude
esp32_device_001,2025-10-11T07:48:34+13:00,80.9,-36.603817,174.802216
esp32_device_001,2025-10-11T07:48:39+13:00,70.9,-36.603657,174.802017
esp32_device_001,2025-10-11T07:48:44+13:00,62.6,-36.603523,174.801514
esp32_device_001,2025-10-11T07:48:49+13:00,60.5,-36.603348,174.800842
esp32_device_001,2025-10-11T07:48:54+13:00,59.6,-36.603165,174.800079
esp32_device_001,2025-10-11T07:48:59+13:00,60.2,-36.60313,174.799347
esp32_device_001,2025-10-11T07:49:04+13:00,60.9,-36.603462,174.798691
esp32_device_001,2025-10-11T07:49:09+13:00,61.1,-36.60384,174.797989
esp32_device_001,2025-10-11T07:49:14+13:00,60.6,-36.60421,174.797302
esp32_device_001,2025-10-11T07:49:19+13:00,59.9,-36.60458,174.796616
esp32_device_001,2025-10-11T07:49:24+13:00,56.8,-36.604805,174.795837
esp32_device_001,2025-10-11T07:49:29+13:00,51.5,-36.604965,174.795013
esp32_device_001,2025-10-11T07:49:34+13:00,45.1,-36.605137,174.794174
esp32_device_001,2025-10-11T07:49:39+13:00,37.6,-36.605164,174.793304
esp32_device_001,2025-10-11T07:49:44+13:00,28.7,-36.605064,174.79245
esp32_device_001,2025-10-11T07:49:49+13:00,21.4,-36.604961,174.79155
esp32_device_001,2025-10-11T07:49:54+13:00,23.6,-36.604866,174.790649
esp32_device_001,2025-10-11T07:49:59+13:00,28.5,-36.604942,174.789795
esp32_device_001,2025-10-11T07:50:04+13:00,34.4,-36.605057,174.788925
esp32_device_001,2025-10-11T07:50:09+13:00,40.4,-36.605167,174.78804
esp32_device_001,2025-10-11T07:50:14+13:00,48.5,-36.605278,174.787231
esp32_device_001,2025-10-11T07:50:19+13:00,56.7,-36.605457,174.786545
esp32_device_001,2025-10-11T07:50:24+13:00,62.7,-36.605865,174.786026
esp32_device_001,2025-10-11T07:50:29+13:00,68,-36.606369,174.785568
esp32_device_001,2025-10-11T07:50:34+13:00,73.4,-36.60688,174.785095
esp32_device_001,2025-10-11T07:50:39+13:00,75.4,-36.607418,174.784607
esp32_device_001,2025-10-11T07:50:44+13:00,73.6,-36.607994,174.784073
esp32_device_001,2025-10-11T07:50:49+13:00,69.6,-36.608612,174.783539
esp32_device_001,2025-10-11T07:50:54+13:00,68.8,-36.60923,174.782974
esp32_device_001,2025-10-11T07:50:59+13:00,70,-36.609665,174.782211
esp32_device_001,2025-10-11T07:51:04+13:00,73.1,-36.609951,174.781357
esp32_device_001,2025-10-11T07:51:09+13:00,78.7,-36.610378,174.78067
esp32_device_001,2025-10-11T07:51:14+13:00,82.4,-36.610962,174.780319
esp32_device_001,2025-10-11T07:51:19+13:00,83.3,-36.611423,174.779984
esp32_device_001,2025-10-11T07:51:24+13:00,82.8,-36.611729,174.779678
esp32_device_001,2025-10-11T07:51:29+13:00,83,-36.611797,174.779282
esp32_device_001,2025-10-11T07:51:34+13:00,81.8,-36.611927,174.778641
esp32_device_001,2025-10-11T07:51:39+13:00,80.2,-36.612133,174.777878
esp32_device_001,2025-10-11T07:51:44+13:00,80.8,-36.61245,174.777222
esp32_device_001,2025-10-11T07:51:49+13:00,82.6,-36.612789,174.77655
esp32_device_001,2025-10-11T07:51:54+13:00,84,-36.613136,174.775864
esp32_device_001,2025-10-11T07:51:59+13:00,86.4,-36.613575,174.775299
esp32_device_001,2025-10-11T07:52:04+13:00,86.1,-36.614178,174.774979
esp32_device_001,2025-10-11T07:52:09+13:00,84.6,-36.614876,174.774948
esp32_device_001,2025-10-11T07:52:14+13:00,84.2,-36.615536,174.774841
esp32_device_001,2025-10-11T07:52:19+13:00,82.4,-36.616135,174.77446
esp32_device_001,2025-10-11T07:52:24+13:00,79.6,-36.616722,174.774078
esp32_device_001,2025-10-11T07:52:29+13:00,74,-36.617393,174.773972
esp32_device_001,2025-10-11T07:52:34+13:00,71.1,-36.618069,174.774017
esp32_device_001,2025-10-11T07:52:39+13:00,63.2,-36.618736,174.773987
esp32_device_001,2025-10-11T07:52:44+13:00,54,-36.619377,174.773819
esp32_device_001,2025-10-11T07:52:49+13:00,46.5,-36.620026,174.773666
