dev_esp32,timestamp,altitude,latitude,longitude
esp32_device_001,2025-10-16T13:57:10+13:00,75.9,-36.60474,174.802551
esp32_device_001,2025-10-16T13:57:15+13:00,73.5,-36.604767,174.802551
esp32_device_001,2025-10-16T13:57:20+13:00,73.3,-36.604763,174.802551
esp32_device_001,2025-10-16T13:57:25+13:00,73.3,-36.604748,174.802551
esp32_device_001,2025-10-16T13:57:30+13:00,69.3,-36.604813,174.802551
esp32_device_001,2025-10-16T13:57:35+13:00,67.2,-36.604839,174.802551
esp32_device_001,2025-10-16T13:57:40+13:00,67.5,-36.604858,174.802551
esp32_device_001,2025-10-16T13:57:45+13:00,68.4,-36.604866,174.802551
esp32_device_001,2025-10-16T13:57:50+13:00,70,-36.604855,174.802567
esp32_device_001,2025-10-16T13:57:55+13:00,71.3,-36.604836,174.802628
esp32_device_001,2025-10-16T13:58:00+13:00,71.9,-36.604801,174.802689
esp32_device_001,2025-10-16T13:58:05+13:00,71.7,-36.604786,174.802734
esp32_device_001,2025-10-16T13:58:10+13:00,71.7,-36.604763,174.80275
esp32_device_001,2025-10-16T13:58:15+13:00,64,-36.604588,174.802643
esp32_device_001,2025-10-16T13:58:20+13:00,58.2,-36.604233,174.802399
esp32_device_001,2025-10-16T13:58:25+13:00,53.4,-36.603863,174.802185
esp32_device_001,2025-10-16T13:58:30+13:00,53.7,-36.603642,174.801956
esp32_device_001,2025-10-16T13:58:35+13:00,56.1,-36.603512,174.801437
esp32_device_001,2025-10-16T13:58:40+13:00,57,-36.603333,174.800735
esp32_device_001,2025-10-16T13:58:45+13:00,58.7,-36.603149,174.799973
esp32_device_001,2025-10-16T13:58:50+13:00,58.7,-36.603168,174.799255
esp32_device_001,2025-10-16T13:58:55+13:00,58.3,-36.603508,174.798599
esp32_device_001,2025-10-16T13:59:00+13:00,58.2,-36.603867,174.797928
esp32_device_001,2025-10-16T13:59:05+13:00,57.3,-36.604244,174.797226
esp32_device_001,2025-10-16T13:59:10+13:00,56.2,-36.604599,174.79657
esp32_device_001,2025-10-16T13:59:15+13:00,55,-36.604816,174.795807
esp32_device_001,2025-10-16T13:59:20+13:00,51.2,-36.604988,174.794998
esp32_device_001,2025-10-16T13:59:25+13:00,46.5,-36.605156,174.794189
esp32_device_001,2025-10-16T13:59:30+13:00,39.5,-36.605202,174.79335
esp32_device_001,2025-10-16T13:59:35+13:00,30.2,-36.605099,174.792496
esp32_device_001,2025-10-16T13:59:40+13:00,22.4,-36.604988,174.79158
esp32_device_001,2025-10-16T13:59:45+13:00,24.6,-36.6049,174.79068
esp32_device_001,2025-10-16T13:59:50+13:00,30.4,-36.604961,174.78981
esp32_device_001,2025-10-16T13:59:55+13:00,34.7,-36.605083,174.78891
esp32_device_001,2025-10-16T14:00:00+13:00,41.2,-36.60519,174.78801
esp32_device_001,2025-10-16T14:00:05+13:00,49.5,-36.605305,174.787155
esp32_device_001,2025-10-16T14:00:10+13:00,56.9,-36.605556,174.786423
esp32_device_001,2025-10-16T14:00:15+13:00,62.4,-36.60603,174.785919
esp32_device_001,2025-10-16T14:00:20+13:00,67.8,-36.606529,174.785477
esp32_device_001,2025-10-16T14:00:25+13:00,71.5,-36.607006,174.785049
esp32_device_001,2025-10-16T14:00:30+13:00,73.8,-36.60751,174.784592
esp32_device_001,2025-10-16T14:00:35+13:00,72.2,-36.608032,174.784119
esp32_device_001,2025-10-16T14:00:40+13:00,68.7,-36.608543,174.783646
esp32_device_001,2025-10-16T14:00:45+13:00,67.6,-36.60907,174.783188
esp32_device_001,2025-10-16T14:00:50+13:00,69.9,-36.609509,174.782639
esp32_device_001,2025-10-16T14:00:55+13:00,70.7,-36.609787,174.781937
esp32_device_001,2025-10-16T14:01:00+13:00,74,-36.610027,174.781189
esp32_device_001,2025-10-16T14:01:05+13:00,78.4,-36.61047,174.780624
esp32_device_001,2025-10-16T14:01:08+13:00,80.4,-36.611031,174.780304
esp32_device_001,2025-10-16T14:01:13+13:00,80.5,-36.611477,174.779953
esp32_device_001,2025-10-16T14:01:18+13:00,79.9,-36.611763,174.779678
esp32_device_001,2025-10-16T14:01:23+13:00,79.4,-36.611847,174.77919
esp32_device_001,2025-10-16T14:01:28+13:00,78.1,-36.612003,174.778427
esp32_device_001,2025-10-16T14:01:33+13:00,75.8,-36.612247,174.777679
esp32_device_001,2025-10-16T14:01:38+13:00,75.1,-36.612572,174.777039
esp32_device_001,2025-10-16T14:01:43+13:00,75.9,-36.612885,174.776413
esp32_device_001,2025-10-16T14:01:48+13:00,76.1,-36.613197,174.775787
esp32_device_001,2025-10-16T14:01:53+13:00,78.6,-36.613621,174.775269
esp32_device_001,2025-10-16T14:01:58+13:00,78.7,-36.614189,174.774979
esp32_device_001,2025-10-16T14:02:03+13:00,77.3,-36.614838,174.774948
esp32_device_001,2025-10-16T14:02:08+13:00,76.5,-36.615452,174.774872
