dev_esp32,timestamp,altitude,latitude,longitude,journey_id,synthetic
esp32_device_001,2025-10-02T08:46:34+13:00,58,-36.604721,174.802673,1,False
esp32_device_001,2025-10-02T08:46:39+13:00,58.9,-36.604706,174.802704,1,False
esp32_device_001,2025-10-02T08:46:44+13:00,58,-36.604588,174.802673,1,False
esp32_device_001,2025-10-02T08:46:46.500000+13:00,57.3,-36.604346,174.802540,1,True
esp32_device_001,2025-10-02T08:46:49+13:00,56.6,-36.604298,174.80249,1,False
esp32_device_001,2025-10-02T08:46:49.454545+13:00,56.5,-36.604083,174.802380,1,True
esp32_device_001,2025-10-02T08:46:49.909091+13:00,56.5,-36.603918,174.802283,1,True
esp32_device_001,2025-10-02T08:46:50.363636+13:00,56.4,-36.603823,174.802199,1,True
esp32_device_001,2025-10-02T08:46:50.818182+13:00,56.3,-36.603814,174.802194,1,True
esp32_device_001,2025-10-02T08:46:51.272727+13:00,56.3,-36.603769,174.802171,1,True
esp32_device_001,2025-10-02T08:46:51.727273+13:00,56.2,-36.603704,174.802153,1,True
esp32_device_001,2025-10-02T08:46:52.181818+13:00,56.2,-36.603662,174.802168,1,True
esp32_device_001,2025-10-02T08:46:52.636364+13:00,56.1,-36.603695,174.802307,1,True
esp32_device_001,2025-10-02T08:46:53.090909+13:00,56.0,-36.603749,174.802281,1,True
esp32_device_001,2025-10-02T08:46:53.545455+13:00,56.0,-36.603801,174.802271,1,True
esp32_device_001,2025-10-02T08:46:54+13:00,55.9,-36.603928,174.802261,1,False
esp32_device_001,2025-10-02T08:46:59+13:00,56.8,-36.603683,174.802124,1,False
esp32_device_001,2025-10-02T08:47:00.666667+13:00,56.4,-36.603662,174.802168,1,True
esp32_device_001,2025-10-02T08:47:02.333333+13:00,56.0,-36.603639,174.802077,1,True
esp32_device_001,2025-10-02T08:47:04+13:00,55.6,-36.60358,174.801773,1,False
esp32_device_001,2025-10-02T08:47:06.500000+13:00,56.1,-36.603446,174.801282,1,True
esp32_device_001,2025-10-02T08:47:09+13:00,56.6,-36.603451,174.801193,1,False
esp32_device_001,2025-10-02T08:47:10.666667+13:00,57.2,-36.603411,174.801140,1,True
esp32_device_001,2025-10-02T08:47:12.333333+13:00,57.8,-36.603379,174.801004,1,True
esp32_device_001,2025-10-02T08:47:14+13:00,58.4,-36.603275,174.800446,1,False
esp32_device_001,2025-10-02T08:47:15+13:00,58.4,-36.603160,174.800101,1,True
esp32_device_001,2025-10-02T08:47:16+13:00,58.5,-36.603110,174.799895,1,True
esp32_device_001,2025-10-02T08:47:17+13:00,58.5,-36.603092,174.799818,1,True
esp32_device_001,2025-10-02T08:47:18+13:00,58.6,-36.603076,174.799733,1,True
esp32_device_001,2025-10-02T08:47:19+13:00,58.6,-36.603111,174.799713,1,False
esp32_device_001,2025-10-02T08:47:20.250000+13:00,58.6,-36.603065,174.799637,1,True
esp32_device_001,2025-10-02T08:47:21.500000+13:00,58.5,-36.603066,174.799538,1,True
esp32_device_001,2025-10-02T08:47:22.750000+13:00,58.5,-36.603082,174.799420,1,True
esp32_device_001,2025-10-02T08:47:24+13:00,58.4,-36.603118,174.799312,1,True
esp32_device_001,2025-10-02T08:47:25.250000+13:00,58.4,-36.603165,174.799204,1,True
esp32_device_001,2025-10-02T08:47:26.500000+13:00,58.3,-36.603219,174.799100,1,True
esp32_device_001,2025-10-02T08:47:27.750000+13:00,58.2,-36.603456,174.798650,1,True
esp32_device_001,2025-10-02T08:47:29+13:00,58.2,-36.603653,174.798355,1,False
esp32_device_001,2025-10-02T08:47:30.666667+13:00,58.4,-36.603792,174.798029,1,True
esp32_device_001,2025-10-02T08:47:32.333333+13:00,58.7,-36.603838,174.797944,1,True
esp32_device_001,2025-10-02T08:47:34+13:00,58.9,-36.604027,174.797653,1,False
esp32_device_001,2025-10-02T08:47:36.500000+13:00,59.1,-36.604265,174.797153,1,True
esp32_device_001,2025-10-02T08:47:39+13:00,59.3,-36.604401,174.796951,1,False
esp32_device_001,2025-10-02T08:47:40+13:00,59.3,-36.604561,174.796597,1,True
esp32_device_001,2025-10-02T08:47:41+13:00,59.3,-36.604613,174.796482,1,True
esp32_device_001,2025-10-02T08:47:42+13:00,59.2,-36.604641,174.796412,1,True
esp32_device_001,2025-10-02T08:47:43+13:00,59.2,-36.604663,174.796340,1,True
esp32_device_001,2025-10-02T08:47:44+13:00,59.2,-36.604733,174.796249,1,False
esp32_device_001,2025-10-02T08:47:45.250000+13:00,59.0,-36.604700,174.796218,1,True
esp32_device_001,2025-10-02T08:47:46.500000+13:00,58.7,-36.604755,174.795973,1,True
esp32_device_001,2025-10-02T08:47:47.750000+13:00,58.5,-36.604846,174.795514,1,True
esp32_device_001,2025-10-02T08:47:49+13:00,58.2,-36.604919,174.795425,1,False
esp32_device_001,2025-10-02T08:47:51.500000+13:00,57.5,-36.604989,174.794807,1,True
esp32_device_001,2025-10-02T08:47:54+13:00,56.9,-36.605095,174.794586,1,False
esp32_device_001,2025-10-02T08:47:55.666667+13:00,55.1,-36.605161,174.793931,1,True
esp32_device_001,2025-10-02T08:47:57.333333+13:00,53.3,-36.605175,174.793832,1,True
esp32_device_001,2025-10-02T08:47:59+13:00,51.5,-36.605236,174.793762,1,False
esp32_device_001,2025-10-02T08:48:00+13:00,50.1,-36.605186,174.793658,1,True
esp32_device_001,2025-10-02T08:48:01+13:00,48.7,-36.605180,174.793563,1,True
esp32_device_001,2025-10-02T08:48:02+13:00,47.2,-36.605172,174.793455,1,True
esp32_device_001,2025-10-02T08:48:03+13:00,45.8,-36.605117,174.792976,1,True
esp32_device_001,2025-10-02T08:48:04+13:00,44.4,-36.605167,174.792938,1,False
esp32_device_001,2025-10-02T08:48:09+13:00,36.1,-36.605053,174.792099,1,False
esp32_device_001,2025-10-02T08:48:11.500000+13:00,31.7,-36.604955,174.791624,1,True
esp32_device_001,2025-10-02T08:48:14+13:00,27.3,-36.604942,174.791199,1,False
esp32_device_001,2025-10-02T08:48:15+13:00,26.6,-36.604893,174.791112,1,True
esp32_device_001,2025-10-02T08:48:16+13:00,25.9,-36.604858,174.790656,1,True
esp32_device_001,2025-10-02T08:48:17+13:00,25.3,-36.604857,174.790521,1,True
esp32_device_001,2025-10-02T08:48:18+13:00,24.6,-36.604861,174.790365,1,True
esp32_device_001,2025-10-02T08:48:19+13:00,23.9,-36.604904,174.790329,1,False
esp32_device_001,2025-10-02T08:48:20.666667+13:00,25.3,-36.604878,174.790160,1,True
esp32_device_001,2025-10-02T08:48:22.333333+13:00,26.6,-36.604900,174.789963,1,True
esp32_device_001,2025-10-02T08:48:24+13:00,28,-36.605015,174.789444,1,False
esp32_device_001,2025-10-02T08:48:25.666667+13:00,29.7,-36.604989,174.789355,1,True
esp32_device_001,2025-10-02T08:48:27.333333+13:00,31.3,-36.605073,174.788703,1,True
esp32_device_001,2025-10-02T08:48:29+13:00,33,-36.605133,174.788559,1,False
esp32_device_001,2025-10-02T08:48:34+13:00,43.2,-36.60524,174.78772,1,False
esp32_device_001,2025-10-02T08:48:35.500000+13:00,47.0,-36.605279,174.787059,1,True
esp32_device_001,2025-10-02T08:48:37+13:00,50.7,-36.605343,174.786972,1,False
esp32_device_001,2025-10-02T08:48:37.714286+13:00,51.5,-36.605316,174.786860,1,True
esp32_device_001,2025-10-02T08:48:38.428571+13:00,52.3,-36.605344,174.786755,1,True
esp32_device_001,2025-10-02T08:48:39.142857+13:00,53.1,-36.605379,174.786658,1,True
esp32_device_001,2025-10-02T08:48:39.857143+13:00,54.0,-36.605418,174.786562,1,True
esp32_device_001,2025-10-02T08:48:40.571429+13:00,54.8,-36.605463,174.786476,1,True
esp32_device_001,2025-10-02T08:48:41.285714+13:00,55.6,-36.605521,174.786380,1,True
esp32_device_001,2025-10-02T08:48:42+13:00,56.4,-36.605618,174.786331,1,False
esp32_device_001,2025-10-02T08:48:44.500000+13:00,58.7,-36.605788,174.786079,1,True
esp32_device_001,2025-10-02T08:48:47+13:00,61,-36.606106,174.785843,1,False
esp32_device_001,2025-10-02T08:48:49.500000+13:00,63.5,-36.606576,174.785376,1,True
esp32_device_001,2025-10-02T08:48:52+13:00,66,-36.60664,174.78537,1,False
esp32_device_001,2025-10-02T08:48:54.500000+13:00,67.5,-36.606981,174.785015,1,True
esp32_device_001,2025-10-02T08:48:57+13:00,69.1,-36.607162,174.784882,1,False
esp32_device_001,2025-10-02T08:48:59.500000+13:00,69.4,-36.607484,174.784558,1,True
esp32_device_001,2025-10-02T08:49:02+13:00,69.8,-36.607746,174.784363,1,False
esp32_device_001,2025-10-02T08:49:04.500000+13:00,68.2,-36.608013,174.784081,1,True
esp32_device_001,2025-10-02T08:49:07+13:00,66.7,-36.608353,174.783813,1,False
esp32_device_001,2025-10-02T08:49:08.428571+13:00,66.2,-36.608449,174.783689,1,True
esp32_device_001,2025-10-02T08:49:09.857143+13:00,65.8,-36.608946,174.783241,1,True
esp32_device_001,2025-10-02T08:49:11.285714+13:00,65.3,-36.609180,174.783031,1,True
esp32_device_001,2025-10-02T08:49:12.714286+13:00,64.9,-36.609276,174.782917,1,True
esp32_device_001,2025-10-02T08:49:14.142857+13:00,64.4,-36.609367,174.782800,1,True
esp32_device_001,2025-10-02T08:49:15.571429+13:00,64.0,-36.609453,174.782670,1,True
esp32_device_001,2025-10-02T08:49:17+13:00,63.5,-36.609505,174.782623,1,False
esp32_device_001,2025-10-02T08:49:18+13:00,63.9,-36.609536,174.782519,1,True
esp32_device_001,2025-10-02T08:49:19+13:00,64.3,-36.609561,174.782467,1,True
esp32_device_001,2025-10-02T08:49:20+13:00,64.6,-36.609606,174.782367,1,True
esp32_device_001,2025-10-02T08:49:21+13:00,65.0,-36.609653,174.782248,1,True
esp32_device_001,2025-10-02T08:49:22+13:00,65.4,-36.609821,174.781769,1,False
esp32_device_001,2025-10-02T08:49:23+13:00,66.2,-36.609917,174.781437,1,True
esp32_device_001,2025-10-02T08:49:24+13:00,67.0,-36.610007,174.781160,1,True
esp32_device_001,2025-10-02T08:49:25+13:00,67.8,-36.610061,174.781046,1,True
esp32_device_001,2025-10-02T08:49:26+13:00,68.6,-36.610103,174.780963,1,True
esp32_device_001,2025-10-02T08:49:27+13:00,69.4,-36.610280,174.780726,1,True
esp32_device_001,2025-10-02T08:49:28+13:00,70.2,-36.610355,174.780651,1,True
esp32_device_001,2025-10-02T08:49:29+13:00,71.0,-36.610433,174.780591,1,True
esp32_device_001,2025-10-02T08:49:30+13:00,71.8,-36.610519,174.780537,1,True
esp32_device_001,2025-10-02T08:49:31+13:00,72.6,-36.610602,174.780488,1,True
esp32_device_001,2025-10-02T08:49:32+13:00,73.4,-36.610744,174.780441,1,False
esp32_device_001,2025-10-02T08:49:32.833333+13:00,74.8,-36.610775,174.780398,1,True
esp32_device_001,2025-10-02T08:49:33.666667+13:00,76.1,-36.610853,174.780359,1,True
esp32_device_001,2025-10-02T08:49:34.500000+13:00,77.5,-36.610932,174.780316,1,True
esp32_device_001,2025-10-02T08:49:35.333333+13:00,78.8,-36.611178,174.780210,1,True
esp32_device_001,2025-10-02T08:49:36.166667+13:00,80.2,-36.611301,174.780129,1,True
esp32_device_001,2025-10-02T08:49:37+13:00,81.5,-36.611309,174.780106,1,False
esp32_device_001,2025-10-02T08:49:37.166667+13:00,81.5,-36.611409,174.780034,1,True
esp32_device_001,2025-10-02T08:49:37.333333+13:00,81.5,-36.611529,174.779893,1,True
esp32_device_001,2025-10-02T08:49:37.500000+13:00,81.5,-36.611619,174.779769,1,True
esp32_device_001,2025-10-02T08:49:37.666667+13:00,81.4,-36.611659,174.779696,1,True
esp32_device_001,2025-10-02T08:49:37.833333+13:00,81.4,-36.611677,174.779706,1,True
esp32_device_001,2025-10-02T08:49:38+13:00,81.4,-36.611703,174.779710,1,True
esp32_device_001,2025-10-02T08:49:38.166667+13:00,81.4,-36.611721,174.779707,1,True
esp32_device_001,2025-10-02T08:49:38.333333+13:00,81.4,-36.611738,174.779698,1,True
esp32_device_001,2025-10-02T08:49:38.500000+13:00,81.4,-36.611758,174.779679,1,True
esp32_device_001,2025-10-02T08:49:38.666667+13:00,81.4,-36.611772,174.779654,1,True
esp32_device_001,2025-10-02T08:49:38.833333+13:00,81.4,-36.611778,174.779625,1,True
esp32_device_001,2025-10-02T08:49:39+13:00,81.3,-36.611778,174.779593,1,True
esp32_device_001,2025-10-02T08:49:39.166667+13:00,81.3,-36.611773,174.779570,1,True
esp32_device_001,2025-10-02T08:49:39.333333+13:00,81.3,-36.611763,174.779550,1,True
esp32_device_001,2025-10-02T08:49:39.500000+13:00,81.3,-36.611761,174.779548,1,True
esp32_device_001,2025-10-02T08:49:39.666667+13:00,81.3,-36.611745,174.779529,1,True
esp32_device_001,2025-10-02T08:49:39.833333+13:00,81.3,-36.611726,174.779517,1,True
esp32_device_001,2025-10-02T08:49:40+13:00,81.3,-36.611705,174.779512,1,True
esp32_device_001,2025-10-02T08:49:40.166667+13:00,81.2,-36.611684,174.779514,1,True
esp32_device_001,2025-10-02T08:49:40.333333+13:00,81.2,-36.611660,174.779525,1,True
esp32_device_001,2025-10-02T08:49:40.500000+13:00,81.2,-36.611641,174.779545,1,True
esp32_device_001,2025-10-02T08:49:40.666667+13:00,81.2,-36.611627,174.779571,1,True
esp32_device_001,2025-10-02T08:49:40.833333+13:00,81.2,-36.611621,174.779601,1,True
esp32_device_001,2025-10-02T08:49:41+13:00,81.2,-36.611621,174.779621,1,True
esp32_device_001,2025-10-02T08:49:41.166667+13:00,81.2,-36.611624,174.779641,1,True
esp32_device_001,2025-10-02T08:49:41.333333+13:00,81.2,-36.611637,174.779672,1,True
esp32_device_001,2025-10-02T08:49:41.500000+13:00,81.1,-36.611647,174.779685,1,True
esp32_device_001,2025-10-02T08:49:41.666667+13:00,81.1,-36.611659,174.779696,1,True
esp32_device_001,2025-10-02T08:49:41.833333+13:00,81.1,-36.611677,174.779706,1,True
esp32_device_001,2025-10-02T08:49:42+13:00,81.1,-36.611656,174.77977,1,False
