dev_esp32,timestamp,altitude,latitude,longitude,journey_id,synthetic
esp32_device_001,2025-10-04T07:46:39+13:00,68.3,-36.603275,174.799011,1,False
esp32_device_001,2025-10-04T07:46:41.500000+13:00,65.4,-36.603456,174.798650,1,True
esp32_device_001,2025-10-04T07:46:44+13:00,62.5,-36.603792,174.798029,1,True
esp32_device_001,2025-10-04T07:46:46.500000+13:00,59.5,-36.603838,174.797944,1,True
esp32_device_001,2025-10-04T07:46:49+13:00,56.6,-36.60405,174.797592,1,False
esp32_device_001,2025-10-04T07:46:51.500000+13:00,55.5,-36.604265,174.797153,1,True
esp32_device_001,2025-10-04T07:46:54+13:00,54.5,-36.60445,174.79686,1,False
esp32_device_001,2025-10-04T07:46:54.833333+13:00,54.3,-36.604561,174.796597,1,True
esp32_device_001,2025-10-04T07:46:55.666667+13:00,54.1,-36.604613,174.796482,1,True
esp32_device_001,2025-10-04T07:46:56.500000+13:00,53.9,-36.604641,174.796412,1,True
esp32_device_001,2025-10-04T07:46:57.333333+13:00,53.6,-36.604663,174.796340,1,True
esp32_device_001,2025-10-04T07:46:58.166667+13:00,53.4,-36.604700,174.796218,1,True
esp32_device_001,2025-10-04T07:46:59+13:00,53.2,-36.604755,174.796127,1,False
esp32_device_001,2025-10-04T07:47:00.666667+13:00,53.1,-36.604755,174.795973,1,True
esp32_device_001,2025-10-04T07:47:02.333333+13:00,53.0,-36.604846,174.795514,1,True
esp32_device_001,2025-10-04T07:47:04+13:00,52.9,-36.604908,174.795349,1,False
esp32_device_001,2025-10-04T07:47:06.500000+13:00,52.0,-36.604989,174.794807,1,True
esp32_device_001,2025-10-04T07:47:09+13:00,51.1,-36.605064,174.794571,1,False
esp32_device_001,2025-10-04T07:47:10.666667+13:00,49.3,-36.605161,174.793931,1,True
esp32_device_001,2025-10-04T07:47:12.333333+13:00,47.4,-36.605175,174.793832,1,True
esp32_device_001,2025-10-04T07:47:14+13:00,45.6,-36.605198,174.793777,1,False
esp32_device_001,2025-10-04T07:47:14.833333+13:00,44.5,-36.605184,174.793754,1,True
esp32_device_001,2025-10-04T07:47:15.666667+13:00,43.4,-36.605186,174.793658,1,True
esp32_device_001,2025-10-04T07:47:16.500000+13:00,42.3,-36.605180,174.793563,1,True
esp32_device_001,2025-10-04T07:47:17.333333+13:00,41.2,-36.605172,174.793455,1,True
esp32_device_001,2025-10-04T07:47:18.166667+13:00,40.1,-36.605117,174.792976,1,True
esp32_device_001,2025-10-04T07:47:19+13:00,39,-36.605122,174.792953,1,False
esp32_device_001,2025-10-04T07:47:24+13:00,29.1,-36.605015,174.792114,1,False
esp32_device_001,2025-10-04T07:47:26.500000+13:00,27.6,-36.604955,174.791624,1,True
esp32_device_001,2025-10-04T07:47:29+13:00,26,-36.604904,174.791214,1,False
esp32_device_001,2025-10-04T07:47:30+13:00,26.9,-36.604893,174.791112,1,True
esp32_device_001,2025-10-04T07:47:31+13:00,27.9,-36.604858,174.790656,1,True
esp32_device_001,2025-10-04T07:47:32+13:00,28.8,-36.604857,174.790521,1,True
esp32_device_001,2025-10-04T07:47:33+13:00,29.8,-36.604861,174.790365,1,True
esp32_device_001,2025-10-04T07:47:34+13:00,30.7,-36.604866,174.790344,1,False
esp32_device_001,2025-10-04T07:47:35.666667+13:00,32.0,-36.604878,174.790160,1,True
esp32_device_001,2025-10-04T07:47:37.333333+13:00,33.3,-36.604900,174.789963,1,True
