dev_esp32,timestamp,altitude,latitude,longitude,journey_id,synthetic
esp32_device_001,2025-10-08T09:11:14+13:00,65.7,-36.604778,174.802628,1,False
esp32_device_001,2025-10-08T09:11:19+13:00,65.7,-36.604771,174.802643,1,False
esp32_device_001,2025-10-08T09:11:24+13:00,65.2,-36.604725,174.802719,1,False
esp32_device_001,2025-10-08T09:20:07+13:00,58.6,-36.604527,174.802597,1,False
esp32_device_001,2025-10-08T09:20:09.500000+13:00,58.2,-36.604346,174.802540,1,True
esp32_device_001,2025-10-08T09:20:12+13:00,57.7,-36.604172,174.802399,1,False
esp32_device_001,2025-10-08T09:20:13.666667+13:00,57.6,-36.604083,174.802380,1,True
esp32_device_001,2025-10-08T09:20:15.333333+13:00,57.6,-36.603918,174.802283,1,True
esp32_device_001,2025-10-08T09:20:17+13:00,57.5,-36.603817,174.8022,1,False
esp32_device_001,2025-10-08T09:20:22+13:00,57.3,-36.603649,174.802032,1,False
esp32_device_001,2025-10-08T09:20:27+13:00,56.6,-36.603531,174.801559,1,False
esp32_device_001,2025-10-08T09:20:28.250000+13:00,56.6,-36.603446,174.801282,1,True
esp32_device_001,2025-10-08T09:20:29.500000+13:00,56.7,-36.603411,174.801140,1,True
esp32_device_001,2025-10-08T09:20:30.750000+13:00,56.7,-36.603379,174.801004,1,True
esp32_device_001,2025-10-08T09:20:32+13:00,56.7,-36.603371,174.800888,1,False
esp32_device_001,2025-10-08T09:20:34.500000+13:00,56.9,-36.603250,174.800456,1,True
esp32_device_001,2025-10-08T09:20:37+13:00,57.1,-36.603188,174.800156,1,False
esp32_device_001,2025-10-08T09:20:37.714286+13:00,57.1,-36.603160,174.800101,1,True
esp32_device_001,2025-10-08T09:20:38.428571+13:00,57.2,-36.603110,174.799895,1,True
esp32_device_001,2025-10-08T09:20:39.142857+13:00,57.2,-36.603092,174.799818,1,True
esp32_device_001,2025-10-08T09:20:39.857143+13:00,57.2,-36.603076,174.799733,1,True
esp32_device_001,2025-10-08T09:20:40.571429+13:00,57.2,-36.603065,174.799637,1,True
esp32_device_001,2025-10-08T09:20:41.285714+13:00,57.3,-36.603066,174.799538,1,True
esp32_device_001,2025-10-08T09:20:42+13:00,57.3,-36.603107,174.799454,1,False
esp32_device_001,2025-10-08T09:20:43+13:00,57.4,-36.603082,174.799420,1,True
esp32_device_001,2025-10-08T09:20:44+13:00,57.5,-36.603118,174.799312,1,True
esp32_device_001,2025-10-08T09:20:45+13:00,57.7,-36.603165,174.799204,1,True
esp32_device_001,2025-10-08T09:20:46+13:00,57.8,-36.603219,174.799100,1,True
esp32_device_001,2025-10-08T09:20:47+13:00,57.9,-36.603394,174.798798,1,False
esp32_device_001,2025-10-08T09:20:49.500000+13:00,58.1,-36.603456,174.798650,1,True
esp32_device_001,2025-10-08T09:20:52+13:00,58.3,-36.60376,174.798111,1,False
esp32_device_001,2025-10-08T09:20:53.666667+13:00,58.2,-36.603792,174.798029,1,True
esp32_device_001,2025-10-08T09:20:55.333333+13:00,58.2,-36.603838,174.797944,1,True
esp32_device_001,2025-10-08T09:20:57+13:00,58.1,-36.604145,174.797409,1,False
esp32_device_001,2025-10-08T09:20:59.500000+13:00,58.0,-36.604265,174.797153,1,True
esp32_device_001,2025-10-08T09:21:02+13:00,57.8,-36.604527,174.796677,1,False
esp32_device_001,2025-10-08T09:21:02.714286+13:00,57.5,-36.604561,174.796597,1,True
esp32_device_001,2025-10-08T09:21:03.428571+13:00,57.3,-36.604613,174.796482,1,True
esp32_device_001,2025-10-08T09:21:04.142857+13:00,57.0,-36.604641,174.796412,1,True
esp32_device_001,2025-10-08T09:21:04.857143+13:00,56.8,-36.604663,174.796340,1,True
esp32_device_001,2025-10-08T09:21:05.571429+13:00,56.5,-36.604700,174.796218,1,True
esp32_device_001,2025-10-08T09:21:06.285714+13:00,56.3,-36.604755,174.795973,1,True
esp32_device_001,2025-10-08T09:21:07+13:00,56,-36.604782,174.795898,1,False
esp32_device_001,2025-10-08T09:21:09.500000+13:00,53.5,-36.604846,174.795514,1,True
esp32_device_001,2025-10-08T09:21:12+13:00,51.1,-36.604946,174.795044,1,False
esp32_device_001,2025-10-08T09:21:14.500000+13:00,48.5,-36.604989,174.794807,1,True
esp32_device_001,2025-10-08T09:21:17+13:00,45.9,-36.605118,174.794189,1,False
esp32_device_001,2025-10-08T09:21:17.714286+13:00,44.9,-36.605161,174.793931,1,True
esp32_device_001,2025-10-08T09:21:18.428571+13:00,43.9,-36.605175,174.793832,1,True
esp32_device_001,2025-10-08T09:21:19.142857+13:00,42.9,-36.605184,174.793754,1,True
esp32_device_001,2025-10-08T09:21:19.857143+13:00,41.8,-36.605186,174.793658,1,True
esp32_device_001,2025-10-08T09:21:20.571429+13:00,40.8,-36.605180,174.793563,1,True
esp32_device_001,2025-10-08T09:21:21.285714+13:00,39.8,-36.605172,174.793455,1,True
