dev_esp32,timestamp,altitude,latitude,longitude,journey_id,synthetic
esp32_device_001,2025-10-09T14:08:29+13:00,27.7,-36.604534,174.802765,1,False
esp32_device_001,2025-10-09T14:08:34+13:00,27.7,-36.60458,174.802689,1,False
esp32_device_001,2025-10-09T14:08:34.151515+13:00,27.7,-36.604843,174.802839,1,True
esp32_device_001,2025-10-09T14:08:34.303030+13:00,27.7,-36.605178,174.803024,1,True
esp32_device_001,2025-10-09T14:08:34.454545+13:00,27.7,-36.605565,174.803221,1,True
esp32_device_001,2025-10-09T14:08:34.606061+13:00,27.7,-36.605855,174.803361,1,True
esp32_device_001,2025-10-09T14:08:34.757576+13:00,27.7,-36.606157,174.803506,1,True
esp32_device_001,2025-10-09T14:08:34.909091+13:00,27.7,-36.606331,174.803588,1,True
esp32_device_001,2025-10-09T14:08:35.060606+13:00,27.7,-36.606455,174.803644,1,True
esp32_device_001,2025-10-09T14:08:35.212121+13:00,27.7,-36.606546,174.803675,1,True
esp32_device_001,2025-10-09T14:08:35.363636+13:00,27.7,-36.606627,174.803697,1,True
esp32_device_001,2025-10-09T14:08:35.515152+13:00,27.7,-36.606615,174.803798,1,True
esp32_device_001,2025-10-09T14:08:35.666667+13:00,27.7,-36.606554,174.804331,1,True
esp32_device_001,2025-10-09T14:08:35.818182+13:00,27.7,-36.606529,174.804412,1,True
esp32_device_001,2025-10-09T14:08:35.969697+13:00,27.7,-36.606493,174.804479,1,True
esp32_device_001,2025-10-09T14:08:36.121212+13:00,27.7,-36.606239,174.804767,1,True
esp32_device_001,2025-10-09T14:08:36.272727+13:00,27.7,-36.606181,174.804830,1,True
esp32_device_001,2025-10-09T14:08:36.424242+13:00,27.7,-36.606104,174.804920,1,True
esp32_device_001,2025-10-09T14:08:36.575758+13:00,27.7,-36.606181,174.804830,1,True
esp32_device_001,2025-10-09T14:08:36.727273+13:00,27.7,-36.606239,174.804767,1,True
esp32_device_001,2025-10-09T14:08:36.878788+13:00,27.7,-36.606493,174.804479,1,True
esp32_device_001,2025-10-09T14:08:37.030303+13:00,27.7,-36.606529,174.804412,1,True
esp32_device_001,2025-10-09T14:08:37.181818+13:00,27.7,-36.606554,174.804331,1,True
esp32_device_001,2025-10-09T14:08:37.333333+13:00,27.7,-36.606615,174.803798,1,True
esp32_device_001,2025-10-09T14:08:37.484848+13:00,27.7,-36.606627,174.803697,1,True
esp32_device_001,2025-10-09T14:08:37.636364+13:00,27.7,-36.606546,174.803675,1,True
esp32_device_001,2025-10-09T14:08:37.787879+13:00,27.7,-36.606455,174.803644,1,True
esp32_device_001,2025-10-09T14:08:37.939394+13:00,27.7,-36.606331,174.803588,1,True
esp32_device_001,2025-10-09T14:08:38.090909+13:00,27.7,-36.606157,174.803506,1,True
esp32_device_001,2025-10-09T14:08:38.242424+13:00,27.7,-36.605855,174.803361,1,True
esp32_device_001,2025-10-09T14:08:38.393939+13:00,27.7,-36.605565,174.803221,1,True
esp32_device_001,2025-10-09T14:08:38.545455+13:00,27.7,-36.605178,174.803024,1,True
esp32_device_001,2025-10-09T14:08:38.696970+13:00,27.7,-36.604843,174.802839,1,True
esp32_device_001,2025-10-09T14:08:38.848485+13:00,27.7,-36.604346,174.802540,1,True
esp32_device_001,2025-10-09T14:08:39+13:00,27.7,-36.604301,174.802475,1,False
esp32_device_001,2025-10-09T14:08:41.500000+13:00,27.7,-36.604083,174.802380,1,True
esp32_device_001,2025-10-09T14:08:44+13:00,27.7,-36.603939,174.802246,1,False
esp32_device_001,2025-10-09T14:08:45.250000+13:00,27.7,-36.603823,174.802199,1,True
esp32_device_001,2025-10-09T14:08:46.500000+13:00,27.7,-36.603814,174.802194,1,True
esp32_device_001,2025-10-09T14:08:47.750000+13:00,27.7,-36.603769,174.802171,1,True
esp32_device_001,2025-10-09T14:08:49+13:00,27.7,-36.603703,174.802078,1,False
esp32_device_001,2025-10-09T14:08:50.666667+13:00,27.7,-36.603662,174.802168,1,True
esp32_device_001,2025-10-09T14:08:52.333333+13:00,27.7,-36.603639,174.802077,1,True
esp32_device_001,2025-10-09T14:08:54+13:00,27.7,-36.603554,174.80159,1,False
esp32_device_001,2025-10-09T14:08:55.250000+13:00,27.7,-36.603446,174.801282,1,True
esp32_device_001,2025-10-09T14:08:56.500000+13:00,27.7,-36.603411,174.801140,1,True
esp32_device_001,2025-10-09T14:08:57.750000+13:00,27.7,-36.603379,174.801004,1,True
esp32_device_001,2025-10-09T14:08:59+13:00,27.7,-36.603378,174.800888,1,False
esp32_device_001,2025-10-09T14:09:01.500000+13:00,27.7,-36.603250,174.800456,1,True
esp32_device_001,2025-10-09T14:09:04+13:00,27.7,-36.60318,174.800125,1,False
esp32_device_001,2025-10-09T14:09:04.625000+13:00,27.7,-36.603160,174.800101,1,True
esp32_device_001,2025-10-09T14:09:05.250000+13:00,27.7,-36.603110,174.799895,1,True
esp32_device_001,2025-10-09T14:09:05.875000+13:00,27.7,-36.603092,174.799818,1,True
esp32_device_001,2025-10-09T14:09:06.500000+13:00,27.7,-36.603076,174.799733,1,True
esp32_device_001,2025-10-09T14:09:07.125000+13:00,27.7,-36.603065,174.799637,1,True
esp32_device_001,2025-10-09T14:09:07.750000+13:00,27.7,-36.603066,174.799538,1,True
esp32_device_001,2025-10-09T14:09:08.375000+13:00,27.7,-36.603082,174.799420,1,True
esp32_device_001,2025-10-09T14:09:09+13:00,27.7,-36.603111,174.799408,1,False
esp32_device_001,2025-10-09T14:09:10.250000+13:00,27.7,-36.603118,174.799312,1,True
esp32_device_001,2025-10-09T14:09:11.500000+13:00,27.7,-36.603165,174.799204,1,True
esp32_device_001,2025-10-09T14:09:12.750000+13:00,27.7,-36.603219,174.799100,1,True
esp32_device_001,2025-10-09T14:09:14+13:00,27.7,-36.603416,174.798767,1,False
esp32_device_001,2025-10-09T14:09:16.500000+13:00,27.7,-36.603456,174.798650,1,True
esp32_device_001,2025-10-09T14:09:19+13:00,27.7,-36.603786,174.79808,1,False
esp32_device_001,2025-10-09T14:09:20.666667+13:00,27.7,-36.603792,174.798029,1,True
esp32_device_001,2025-10-09T14:09:22.333333+13:00,27.7,-36.603838,174.797944,1,True
esp32_device_001,2025-10-09T14:09:24+13:00,27.7,-36.60416,174.797394,1,False
esp32_device_001,2025-10-09T14:09:26.500000+13:00,27.7,-36.604265,174.797153,1,True
esp32_device_001,2025-10-09T14:09:29+13:00,27.7,-36.604504,174.796753,1,False
esp32_device_001,2025-10-09T14:09:29.833333+13:00,27.7,-36.604561,174.796597,1,True
esp32_device_001,2025-10-09T14:09:30.666667+13:00,27.7,-36.604613,174.796482,1,True
esp32_device_001,2025-10-09T14:09:31.500000+13:00,27.7,-36.604641,174.796412,1,True
esp32_device_001,2025-10-09T14:09:32.333333+13:00,27.7,-36.604663,174.796340,1,True
esp32_device_001,2025-10-09T14:09:33.166667+13:00,27.7,-36.604700,174.796218,1,True
esp32_device_001,2025-10-09T14:09:34+13:00,27.7,-36.604755,174.796066,1,False
esp32_device_001,2025-10-09T14:09:35.666667+13:00,27.7,-36.604755,174.795973,1,True
esp32_device_001,2025-10-09T14:09:37.333333+13:00,27.7,-36.604846,174.795514,1,True
esp32_device_001,2025-10-09T14:09:39+13:00,27.7,-36.6049,174.795319,1,False
esp32_device_001,2025-10-09T14:09:41.500000+13:00,27.7,-36.604989,174.794807,1,True
esp32_device_001,2025-10-09T14:09:44+13:00,27.7,-36.605057,174.794586,1,False
esp32_device_001,2025-10-09T14:09:45.666667+13:00,27.7,-36.605161,174.793931,1,True
esp32_device_001,2025-10-09T14:09:47.333333+13:00,27.7,-36.605175,174.793832,1,True
esp32_device_001,2025-10-09T14:09:49+13:00,27.7,-36.605198,174.793808,1,False
esp32_device_001,2025-10-09T14:09:50+13:00,27.7,-36.605184,174.793754,1,True
esp32_device_001,2025-10-09T14:09:51+13:00,27.7,-36.605186,174.793658,1,True
esp32_device_001,2025-10-09T14:09:52+13:00,27.7,-36.605180,174.793563,1,True
esp32_device_001,2025-10-09T14:09:53+13:00,27.7,-36.605172,174.793455,1,True
esp32_device_001,2025-10-09T14:09:54+13:00,27.7,-36.605137,174.793015,1,False
esp32_device_001,2025-10-09T14:09:56.500000+13:00,27.7,-36.605117,174.792976,1,True
esp32_device_001,2025-10-09T14:09:59+13:00,27.7,-36.605049,174.792191,1,False
esp32_device_001,2025-10-09T14:10:01.500000+13:00,27.7,-36.604955,174.791624,1,True
esp32_device_001,2025-10-09T14:10:04+13:00,27.7,-36.604939,174.791336,1,False
esp32_device_001,2025-10-09T14:10:05.666667+13:00,27.7,-36.604893,174.791112,1,True
esp32_device_001,2025-10-09T14:10:07.333333+13:00,27.7,-36.604858,174.790656,1,True
esp32_device_001,2025-10-09T14:10:09+13:00,27.7,-36.604877,174.790527,1,False
esp32_device_001,2025-10-09T14:10:10.250000+13:00,27.7,-36.604861,174.790365,1,True
esp32_device_001,2025-10-09T14:10:11.500000+13:00,27.7,-36.604878,174.790160,1,True
esp32_device_001,2025-10-09T14:10:12.750000+13:00,27.7,-36.604900,174.789963,1,True
esp32_device_001,2025-10-09T14:10:14+13:00,27.7,-36.60495,174.789749,1,False
esp32_device_001,2025-10-09T14:10:16.500000+13:00,27.7,-36.604989,174.789355,1,True
esp32_device_001,2025-10-09T14:10:19+13:00,27.7,-36.605061,174.78894,1,False
esp32_device_001,2025-10-09T14:10:21.500000+13:00,27.7,-36.605073,174.788703,1,True
esp32_device_001,2025-10-09T14:10:24+13:00,27.7,-36.60516,174.788116,1,False
esp32_device_001,2025-10-09T14:10:29+13:00,27.7,-36.605267,174.787323,1,False
esp32_device_001,2025-10-09T14:10:30+13:00,27.7,-36.605279,174.787059,1,True
esp32_device_001,2025-10-09T14:10:31+13:00,27.7,-36.605316,174.786860,1,True
esp32_device_001,2025-10-09T14:10:32+13:00,27.7,-36.605344,174.786755,1,True
esp32_device_001,2025-10-09T14:10:33+13:00,27.7,-36.605379,174.786658,1,True
esp32_device_001,2025-10-09T14:10:34+13:00,27.7,-36.605434,174.786606,1,False
esp32_device_001,2025-10-09T14:10:34.833333+13:00,27.7,-36.605418,174.786562,1,True
esp32_device_001,2025-10-09T14:10:35.666667+13:00,27.7,-36.605463,174.786476,1,True
esp32_device_001,2025-10-09T14:10:36.500000+13:00,27.7,-36.605521,174.786380,1,True
esp32_device_001,2025-10-09T14:10:37.333333+13:00,27.7,-36.605587,174.786292,1,True
esp32_device_001,2025-10-09T14:10:38.166667+13:00,27.7,-36.605788,174.786079,1,True
esp32_device_001,2025-10-09T14:10:39+13:00,27.7,-36.605827,174.786072,1,False
esp32_device_001,2025-10-09T14:10:44+13:00,27.7,-36.606335,174.785629,1,False
esp32_device_001,2025-10-09T14:10:46.500000+13:00,27.7,-36.606576,174.785376,1,True
esp32_device_001,2025-10-09T14:10:49+13:00,27.7,-36.606831,174.785187,1,False
esp32_device_001,2025-10-09T14:10:51.500000+13:00,27.7,-36.606981,174.785015,1,True
esp32_device_001,2025-10-09T14:10:54+13:00,27.7,-36.607319,174.784744,1,False
esp32_device_001,2025-10-09T14:10:56.500000+13:00,27.7,-36.607484,174.784558,1,True
esp32_device_001,2025-10-09T14:10:59+13:00,27.7,-36.607861,174.784271,1,False
esp32_device_001,2025-10-09T14:11:01.500000+13:00,27.7,-36.608013,174.784081,1,True
esp32_device_001,2025-10-09T14:11:04+13:00,27.7,-36.608414,174.783768,1,False
esp32_device_001,2025-10-09T14:11:05.666667+13:00,27.7,-36.608449,174.783689,1,True
esp32_device_001,2025-10-09T14:11:07.333333+13:00,27.7,-36.608946,174.783241,1,True
esp32_device_001,2025-10-09T14:11:09+13:00,27.7,-36.60899,174.783249,1,False
esp32_device_001,2025-10-09T14:11:10.250000+13:00,27.7,-36.609180,174.783031,1,True
esp32_device_001,2025-10-09T14:11:11.500000+13:00,27.7,-36.609276,174.782917,1,True
esp32_device_001,2025-10-09T14:11:12.750000+13:00,27.7,-36.609367,174.782800,1,True
esp32_device_001,2025-10-09T14:11:14+13:00,27.7,-36.609463,174.7827,1,False
esp32_device_001,2025-10-09T14:11:14.833333+13:00,27.7,-36.609453,174.782670,1,True
esp32_device_001,2025-10-09T14:11:15.666667+13:00,27.7,-36.609536,174.782519,1,True
esp32_device_001,2025-10-09T14:11:16.500000+13:00,27.7,-36.609561,174.782467,1,True
esp32_device_001,2025-10-09T14:11:17.333333+13:00,27.7,-36.609606,174.782367,1,True
esp32_device_001,2025-10-09T14:11:18.166667+13:00,27.7,-36.609653,174.782248,1,True
esp32_device_001,2025-10-09T14:11:19+13:00,27.7,-36.609768,174.781982,1,False
esp32_device_001,2025-10-09T14:11:21.500000+13:00,27.7,-36.609917,174.781437,1,True
esp32_device_001,2025-10-09T14:11:24+13:00,27.7,-36.610027,174.781204,1,False
esp32_device_001,2025-10-09T14:11:24.833333+13:00,27.7,-36.610007,174.781160,1,True
esp32_device_001,2025-10-09T14:11:25.666667+13:00,27.7,-36.610061,174.781046,1,True
esp32_device_001,2025-10-09T14:11:26.500000+13:00,27.7,-36.610103,174.780963,1,True
esp32_device_001,2025-10-09T14:11:27.333333+13:00,27.7,-36.610280,174.780726,1,True
esp32_device_001,2025-10-09T14:11:28.166667+13:00,27.7,-36.610355,174.780651,1,True
esp32_device_001,2025-10-09T14:11:29+13:00,27.7,-36.610455,174.780624,1,False
esp32_device_001,2025-10-09T14:11:29.833333+13:00,27.7,-36.610519,174.780537,1,True
esp32_device_001,2025-10-09T14:11:30.666667+13:00,27.7,-36.610602,174.780488,1,True
esp32_device_001,2025-10-09T14:11:31.500000+13:00,27.7,-36.610775,174.780398,1,True
esp32_device_001,2025-10-09T14:11:32.333333+13:00,27.7,-36.610853,174.780359,1,True
esp32_device_001,2025-10-09T14:11:33.166667+13:00,27.7,-36.610932,174.780316,1,True
esp32_device_001,2025-10-09T14:11:34+13:00,27.7,-36.611008,174.780304,1,False
esp32_device_001,2025-10-09T14:11:35.250000+13:00,27.7,-36.611178,174.780210,1,True
esp32_device_001,2025-10-09T14:11:36.500000+13:00,27.7,-36.611301,174.780129,1,True
esp32_device_001,2025-10-09T14:11:37.750000+13:00,27.7,-36.611409,174.780034,1,True
esp32_device_001,2025-10-09T14:11:39+13:00,27.7,-36.611427,174.780014,1,False
esp32_device_001,2025-10-09T14:11:44+13:00,27.7,-36.611515,174.779907,1,False
esp32_device_001,2025-10-09T14:11:49+13:00,27.7,-36.611538,174.779861,1,False
esp32_device_001,2025-10-09T14:12:09+13:00,27.7,-36.611725,174.779678,1,False
esp32_device_001,2025-10-09T14:12:09.555556+13:00,27.7,-36.611758,174.779679,1,True
esp32_device_001,2025-10-09T14:12:10.111111+13:00,27.7,-36.611772,174.779654,1,True
esp32_device_001,2025-10-09T14:12:10.666667+13:00,27.7,-36.611778,174.779625,1,True
esp32_device_001,2025-10-09T14:12:11.222222+13:00,27.7,-36.611778,174.779593,1,True
esp32_device_001,2025-10-09T14:12:11.777778+13:00,27.7,-36.611773,174.779570,1,True
esp32_device_001,2025-10-09T14:12:12.333333+13:00,27.7,-36.611763,174.779550,1,True
esp32_device_001,2025-10-09T14:12:12.888889+13:00,27.7,-36.611761,174.779548,1,True
esp32_device_001,2025-10-09T14:12:13.444444+13:00,27.7,-36.611785,174.779398,1,True
esp32_device_001,2025-10-09T14:12:14+13:00,27.7,-36.611794,174.779312,1,False
esp32_device_001,2025-10-09T14:12:15.250000+13:00,27.7,-36.611847,174.779066,1,True
esp32_device_001,2025-10-09T14:12:16.500000+13:00,27.7,-36.611855,174.779023,1,True
esp32_device_001,2025-10-09T14:12:17.750000+13:00,27.7,-36.611880,174.778827,1,True
esp32_device_001,2025-10-09T14:12:19+13:00,27.7,-36.611923,174.778702,1,False
esp32_device_001,2025-10-09T14:12:20.250000+13:00,27.7,-36.611958,174.778444,1,True
esp32_device_001,2025-10-09T14:12:21.500000+13:00,27.7,-36.611996,174.778284,1,True
esp32_device_001,2025-10-09T14:12:22.750000+13:00,27.7,-36.612071,174.778024,1,True
esp32_device_001,2025-10-09T14:12:24+13:00,27.7,-36.61211,174.777969,1,False
esp32_device_001,2025-10-09T14:12:26.500000+13:00,27.7,-36.612162,174.777780,1,True
esp32_device_001,2025-10-09T14:12:29+13:00,27.7,-36.612415,174.777298,1,False
esp32_device_001,2025-10-09T14:12:34+13:00,27.7,-36.612747,174.776642,1,False
esp32_device_001,2025-10-09T14:12:36.500000+13:00,27.7,-36.612782,174.776527,1,True
esp32_device_001,2025-10-09T14:12:39+13:00,27.7,-36.613083,174.775986,1,False
esp32_device_001,2025-10-09T14:12:40+13:00,27.7,-36.613155,174.775781,1,True
esp32_device_001,2025-10-09T14:12:41+13:00,27.7,-36.613239,174.775635,1,True
esp32_device_001,2025-10-09T14:12:42+13:00,27.7,-36.613356,174.775474,1,True
esp32_device_001,2025-10-09T14:12:43+13:00,27.7,-36.613423,174.775400,1,True
esp32_device_001,2025-10-09T14:12:44+13:00,27.7,-36.61348,174.775391,1,False
esp32_device_001,2025-10-09T14:12:44.833333+13:00,27.7,-36.613517,174.775306,1,True
esp32_device_001,2025-10-09T14:12:45.666667+13:00,27.7,-36.613628,174.775212,1,True
esp32_device_001,2025-10-09T14:12:46.500000+13:00,27.7,-36.613761,174.775123,1,True
esp32_device_001,2025-10-09T14:12:47.333333+13:00,27.7,-36.613899,174.775046,1,True
esp32_device_001,2025-10-09T14:12:48.166667+13:00,27.7,-36.614041,174.774989,1,True
esp32_device_001,2025-10-09T14:12:49+13:00,27.7,-36.614056,174.775024,1,False
esp32_device_001,2025-10-09T14:12:50+13:00,27.7,-36.614184,174.774954,1,True
esp32_device_001,2025-10-09T14:12:51+13:00,27.7,-36.614311,174.774933,1,True
esp32_device_001,2025-10-09T14:12:52+13:00,27.7,-36.614417,174.774926,1,True
esp32_device_001,2025-10-09T14:12:53+13:00,27.7,-36.614610,174.774923,1,True
esp32_device_001,2025-10-09T14:12:54+13:00,27.7,-36.614723,174.774948,1,False
esp32_device_001,2025-10-09T14:12:55.250000+13:00,27.7,-36.615019,174.774918,1,True
esp32_device_001,2025-10-09T14:12:56.500000+13:00,27.7,-36.615163,174.774910,1,True
esp32_device_001,2025-10-09T14:12:57.750000+13:00,27.7,-36.615336,174.774877,1,True
esp32_device_001,2025-10-09T14:12:59+13:00,27.7,-36.615368,174.774887,1,False
esp32_device_001,2025-10-09T14:13:00+13:00,27.7,-36.615485,174.774830,1,True
esp32_device_001,2025-10-09T14:13:01+13:00,27.7,-36.615606,174.774776,1,True
esp32_device_001,2025-10-09T14:13:02+13:00,27.7,-36.615719,174.774716,1,True
esp32_device_001,2025-10-09T14:13:03+13:00,27.7,-36.615842,174.774633,1,True
esp32_device_001,2025-10-09T14:13:04+13:00,27.7,-36.615952,174.774582,1,False
esp32_device_001,2025-10-09T14:13:05.666667+13:00,27.7,-36.616039,174.774493,1,True
esp32_device_001,2025-10-09T14:13:07.333333+13:00,27.7,-36.616414,174.774233,1,True
esp32_device_001,2025-10-09T14:13:09+13:00,27.7,-36.616497,174.7742,1,False
esp32_device_001,2025-10-09T14:13:09.833333+13:00,27.7,-36.616554,174.774143,1,True
esp32_device_001,2025-10-09T14:13:10.666667+13:00,27.7,-36.616699,174.774066,1,True
esp32_device_001,2025-10-09T14:13:11.500000+13:00,27.7,-36.616804,174.774024,1,True
esp32_device_001,2025-10-09T14:13:12.333333+13:00,27.7,-36.616928,174.773988,1,True
esp32_device_001,2025-10-09T14:13:13.166667+13:00,27.7,-36.617045,174.773964,1,True
esp32_device_001,2025-10-09T14:13:14+13:00,27.7,-36.617107,174.773972,1,False
esp32_device_001,2025-10-09T14:13:15+13:00,27.7,-36.617160,174.773951,1,True
esp32_device_001,2025-10-09T14:13:16+13:00,27.7,-36.617234,174.773946,1,True
esp32_device_001,2025-10-09T14:13:17+13:00,27.7,-36.617366,174.773952,1,True
esp32_device_001,2025-10-09T14:13:18+13:00,27.7,-36.617671,174.773983,1,True
esp32_device_001,2025-10-09T14:13:19+13:00,27.7,-36.617748,174.773987,1,False
esp32_device_001,2025-10-09T14:13:20.666667+13:00,27.7,-36.617987,174.774004,1,True
esp32_device_001,2025-10-09T14:13:22.333333+13:00,27.7,-36.618180,174.774008,1,True
