dev_esp32,timestamp,altitude,latitude,longitude,journey_id,synthetic
esp32_device_001,2025-10-18T07:46:55+13:00,57.8,-36.604748,174.80249,1,False
esp32_device_001,2025-10-18T07:47:00+13:00,57.8,-36.604733,174.802536,1,False
esp32_device_001,2025-10-18T07:47:02.638889+13:00,57.6,-36.604346,174.802540,1,True
esp32_device_001,2025-10-18T07:47:05.277778+13:00,57.3,-36.604083,174.802380,1,True
esp32_device_001,2025-10-18T07:47:07.916667+13:00,57.1,-36.603918,174.802283,1,True
esp32_device_001,2025-10-18T07:47:10.555556+13:00,56.9,-36.603823,174.802199,1,True
esp32_device_001,2025-10-18T07:47:13.194444+13:00,56.6,-36.603814,174.802194,1,True
esp32_device_001,2025-10-18T07:47:15.833333+13:00,56.4,-36.603769,174.802171,1,True
esp32_device_001,2025-10-18T07:47:18.472222+13:00,56.1,-36.603704,174.802153,1,True
esp32_device_001,2025-10-18T07:47:21.111111+13:00,55.9,-36.603662,174.802168,1,True
esp32_device_001,2025-10-18T07:47:23.750000+13:00,55.7,-36.603639,174.802077,1,True
esp32_device_001,2025-10-18T07:47:26.388889+13:00,55.4,-36.603446,174.801282,1,True
esp32_device_001,2025-10-18T07:47:29.027778+13:00,55.2,-36.603411,174.801140,1,True
esp32_device_001,2025-10-18T07:47:31.666667+13:00,55.0,-36.603379,174.801004,1,True
esp32_device_001,2025-10-18T07:47:34.305556+13:00,54.7,-36.603250,174.800456,1,True
esp32_device_001,2025-10-18T07:47:36.944444+13:00,54.5,-36.603160,174.800101,1,True
esp32_device_001,2025-10-18T07:47:39.583333+13:00,54.3,-36.603110,174.799895,1,True
esp32_device_001,2025-10-18T07:47:42.222222+13:00,54.0,-36.603092,174.799818,1,True
esp32_device_001,2025-10-18T07:47:44.861111+13:00,53.8,-36.603076,174.799733,1,True
esp32_device_001,2025-10-18T07:47:47.500000+13:00,53.5,-36.603065,174.799637,1,True
esp32_device_001,2025-10-18T07:47:50.138889+13:00,53.3,-36.603066,174.799538,1,True
esp32_device_001,2025-10-18T07:47:52.777778+13:00,53.1,-36.603082,174.799420,1,True
esp32_device_001,2025-10-18T07:47:55.416667+13:00,52.8,-36.603118,174.799312,1,True
esp32_device_001,2025-10-18T07:47:58.055556+13:00,52.6,-36.603165,174.799204,1,True
esp32_device_001,2025-10-18T07:48:00.694444+13:00,52.4,-36.603219,174.799100,1,True
esp32_device_001,2025-10-18T07:48:03.333333+13:00,52.1,-36.603456,174.798650,1,True
esp32_device_001,2025-10-18T07:48:05.972222+13:00,51.9,-36.603792,174.798029,1,True
esp32_device_001,2025-10-18T07:48:08.611111+13:00,51.7,-36.603838,174.797944,1,True
esp32_device_001,2025-10-18T07:48:11.250000+13:00,51.4,-36.604265,174.797153,1,True
esp32_device_001,2025-10-18T07:48:13.888889+13:00,51.2,-36.604561,174.796597,1,True
esp32_device_001,2025-10-18T07:48:16.527778+13:00,51.0,-36.604613,174.796482,1,True
esp32_device_001,2025-10-18T07:48:19.166667+13:00,50.7,-36.604641,174.796412,1,True
esp32_device_001,2025-10-18T07:48:21.805556+13:00,50.5,-36.604663,174.796340,1,True
esp32_device_001,2025-10-18T07:48:24.444444+13:00,50.2,-36.604700,174.796218,1,True
esp32_device_001,2025-10-18T07:48:27.083333+13:00,50.0,-36.604755,174.795973,1,True
esp32_device_001,2025-10-18T07:48:29.722222+13:00,49.8,-36.604846,174.795514,1,True
esp32_device_001,2025-10-18T07:48:32.361111+13:00,49.5,-36.604989,174.794807,1,True
esp32_device_001,2025-10-18T07:48:35+13:00,49.3,-36.605015,174.794769,1,False
esp32_device_001,2025-10-18T07:48:36.428571+13:00,47.3,-36.605161,174.793931,1,True
esp32_device_001,2025-10-18T07:48:37.857143+13:00,45.4,-36.605175,174.793832,1,True
esp32_device_001,2025-10-18T07:48:39.285714+13:00,43.4,-36.605184,174.793754,1,True
esp32_device_001,2025-10-18T07:48:40.714286+13:00,41.4,-36.605186,174.793658,1,True
esp32_device_001,2025-10-18T07:48:42.142857+13:00,39.4,-36.605180,174.793563,1,True
esp32_device_001,2025-10-18T07:48:43.571429+13:00,37.5,-36.605172,174.793455,1,True
esp32_device_001,2025-10-18T07:48:45+13:00,35.5,-36.605125,174.79306,1,False
esp32_device_001,2025-10-18T07:48:47.500000+13:00,31.2,-36.605117,174.792976,1,True
esp32_device_001,2025-10-18T07:48:50+13:00,26.9,-36.605026,174.792191,1,False
esp32_device_001,2025-10-18T07:48:52.500000+13:00,24.7,-36.604955,174.791624,1,True
esp32_device_001,2025-10-18T07:48:55+13:00,22.5,-36.604919,174.79126,1,False
esp32_device_001,2025-10-18T07:48:56.250000+13:00,23.5,-36.604893,174.791112,1,True
esp32_device_001,2025-10-18T07:48:57.500000+13:00,24.5,-36.604858,174.790656,1,True
