dev_esp32,timestamp,altitude,latitude,longitude,journey_id,synthetic
esp32_device_001,2025-10-31T07:53:08+13:00,60.9,-36.604729,174.802643,1,False
esp32_device_001,2025-10-31T07:53:13+13:00,60.9,-36.604713,174.802673,1,False
esp32_device_001,2025-10-31T07:53:18+13:00,60.5,-36.60461,174.802673,1,False
esp32_device_001,2025-10-31T07:53:23+13:00,59.3,-36.604347,174.802521,1,False
esp32_device_001,2025-10-31T07:53:25.500000+13:00,58.1,-36.604083,174.802380,1,True
esp32_device_001,2025-10-31T07:53:28+13:00,57,-36.603973,174.802292,1,False
esp32_device_001,2025-10-31T07:53:29+13:00,57.0,-36.603918,174.802283,1,True
esp32_device_001,2025-10-31T07:53:30+13:00,57.0,-36.603823,174.802199,1,True
esp32_device_001,2025-10-31T07:53:31+13:00,57.0,-36.603814,174.802194,1,True
esp32_device_001,2025-10-31T07:53:32+13:00,57.0,-36.603769,174.802171,1,True
esp32_device_001,2025-10-31T07:53:33+13:00,57,-36.603714,174.802155,1,False
esp32_device_001,2025-10-31T07:53:38+13:00,56.4,-36.603596,174.80188,1,False
esp32_device_001,2025-10-31T07:53:43+13:00,56.3,-36.603458,174.801331,1,False
esp32_device_001,2025-10-31T07:53:44.250000+13:00,56.3,-36.603446,174.801282,1,True
esp32_device_001,2025-10-31T07:53:45.500000+13:00,56.3,-36.603411,174.801140,1,True
esp32_device_001,2025-10-31T07:53:46.750000+13:00,56.4,-36.603379,174.801004,1,True
esp32_device_001,2025-10-31T07:53:48+13:00,56.4,-36.603298,174.800644,1,False
esp32_device_001,2025-10-31T07:53:49.666667+13:00,56.4,-36.603250,174.800456,1,True
esp32_device_001,2025-10-31T07:53:51.333333+13:00,56.5,-36.603160,174.800101,1,True
esp32_device_001,2025-10-31T07:53:53+13:00,56.5,-36.603119,174.799911,1,False
esp32_device_001,2025-10-31T07:53:53.625000+13:00,56.6,-36.603110,174.799895,1,True
esp32_device_001,2025-10-31T07:53:54.250000+13:00,56.7,-36.603092,174.799818,1,True
esp32_device_001,2025-10-31T07:53:54.875000+13:00,56.8,-36.603076,174.799733,1,True
esp32_device_001,2025-10-31T07:53:55.500000+13:00,56.9,-36.603065,174.799637,1,True
esp32_device_001,2025-10-31T07:53:56.125000+13:00,56.9,-36.603066,174.799538,1,True
esp32_device_001,2025-10-31T07:53:56.750000+13:00,57.0,-36.603082,174.799420,1,True
esp32_device_001,2025-10-31T07:53:57.375000+13:00,57.1,-36.603118,174.799312,1,True
esp32_device_001,2025-10-31T07:53:58+13:00,57.2,-36.603161,174.79921,1,False
