dev_esp32,timestamp,altitude,latitude,longitude,journey_id,synthetic
esp32_device_001,2025-11-22T07:47:50+13:00,43.9,-36.604614,174.802689,1,False
esp32_device_001,2025-11-22T07:47:55+13:00,45.9,-36.604259,174.802475,1,False
esp32_device_001,2025-11-22T07:48:00+13:00,46.7,-36.60387,174.802216,1,False
esp32_device_001,2025-11-22T07:48:05+13:00,48.7,-36.603695,174.802094,1,False
esp32_device_001,2025-11-22T07:48:10+13:00,50.9,-36.603592,174.801666,1,False
esp32_device_001,2025-11-22T07:48:15+13:00,52,-36.603439,174.80101,1,False
esp32_device_001,2025-11-22T07:48:20+13:00,54.1,-36.603252,174.800247,1,False
esp32_device_001,2025-11-22T07:48:25+13:00,54.9,-36.603127,174.799484,1,False
esp32_device_001,2025-11-22T07:48:30+13:00,56.4,-36.603424,174.798782,1,False
esp32_device_001,2025-11-22T07:48:35+13:00,57.9,-36.603813,174.798065,1,False
esp32_device_001,2025-11-22T07:48:40+13:00,57.8,-36.604179,174.797363,1,False
esp32_device_001,2025-11-22T07:48:45+13:00,58.5,-36.604549,174.796692,1,False
esp32_device_001,2025-11-22T07:48:50+13:00,57.5,-36.604782,174.795975,1,False
esp32_device_001,2025-11-22T07:48:55+13:00,53.6,-36.604927,174.795212,1,False
esp32_device_001,2025-11-22T07:49:00+13:00,48.1,-36.605083,174.794464,1,False
esp32_device_001,2025-11-22T07:49:05+13:00,39.2,-36.605209,174.793716,1,False
esp32_device_001,2025-11-22T07:49:10+13:00,31.9,-36.605133,174.792908,1,False
esp32_device_001,2025-11-22T07:49:15+13:00,22.6,-36.60503,174.792053,1,False
esp32_device_001,2025-11-22T07:49:20+13:00,20.3,-36.604931,174.791153,1,False
esp32_device_001,2025-11-22T07:49:25+13:00,23.6,-36.6049,174.790314,1,False
esp32_device_001,2025-11-22T07:49:30+13:00,27,-36.605007,174.789474,1,False
esp32_device_001,2025-11-22T07:49:35+13:00,31.6,-36.605103,174.78862,1,False
esp32_device_001,2025-11-22T07:49:40+13:00,38.2,-36.605209,174.787735,1,False
esp32_device_001,2025-11-22T07:49:45+13:00,44.7,-36.605335,174.786911,1,False
esp32_device_001,2025-11-22T07:49:50+13:00,53.7,-36.605659,174.78624,1,False
esp32_device_001,2025-11-22T07:49:55+13:00,62.2,-36.606194,174.785736,1,False
esp32_device_001,2025-11-22T07:50:00+13:00,68.9,-36.60675,174.785233,1,False
esp32_device_001,2025-11-22T07:50:05+13:00,73.1,-36.607307,174.784729,1,False
esp32_device_001,2025-11-22T07:50:10+13:00,72.7,-36.607891,174.784195,1,False
esp32_device_001,2025-11-22T07:50:15+13:00,69.8,-36.608498,174.783661,1,False
esp32_device_001,2025-11-22T07:50:20+13:00,67.8,-36.609089,174.783127,1,False
esp32_device_001,2025-11-22T07:50:25+13:00,68.1,-36.609558,174.782516,1,False
esp32_device_001,2025-11-22T07:50:30+13:00,69.3,-36.609848,174.781754,1,False
esp32_device_001,2025-11-22T07:50:35+13:00,73.9,-36.610123,174.781006,1,False
esp32_device_001,2025-11-22T07:50:40+13:00,80.4,-36.610603,174.780502,1,False
esp32_device_001,2025-11-22T07:50:45+13:00,84.6,-36.611149,174.780212,1,False
esp32_device_001,2025-11-22T07:50:50+13:00,87.1,-36.611542,174.779861,1,False
esp32_device_001,2025-11-22T07:50:55+13:00,87.3,-36.611782,174.779617,1,False
esp32_device_001,2025-11-22T07:51:00+13:00,84.9,-36.611839,174.77916,1,False
esp32_device_001,2025-11-22T07:51:05+13:00,83.2,-36.611969,174.778519,1,False
esp32_device_001,2025-11-22T07:51:10+13:00,80.7,-36.612167,174.777832,1,False
esp32_device_001,2025-11-22T07:51:15+13:00,79.5,-36.61248,174.777191,1,False
esp32_device_001,2025-11-22T07:51:20+13:00,79.9,-36.612804,174.776566,1,False
esp32_device_001,2025-11-22T07:51:25+13:00,81.6,-36.613129,174.775925,1,False
esp32_device_001,2025-11-22T07:51:30+13:00,85.3,-36.613514,174.775345,1,False
esp32_device_001,2025-11-22T07:51:35+13:00,87.4,-36.614075,174.775009,1,False
esp32_device_001,2025-11-22T07:51:40+13:00,87.2,-36.614735,174.774948,1,False
esp32_device_001,2025-11-22T07:51:45+13:00,86.5,-36.615417,174.774887,1,False
esp32_device_001,2025-11-22T07:51:50+13:00,83.5,-36.616051,174.774536,1,False
esp32_device_001,2025-11-22T07:51:55+13:00,81.7,-36.616627,174.774139,1,False
esp32_device_001,2025-11-22T07:52:00+13:00,75.5,-36.617237,174.773972,1,False
esp32_device_001,2025-11-22T07:52:05+13:00,70.4,-36.617878,174.774017,1,False
esp32_device_001,2025-11-22T07:52:10+13:00,64.4,-36.618507,174.774017,1,False
esp32_device_001,2025-11-22T07:52:15+13:00,57.6,-36.619125,174.773941,1,False
esp32_device_001,2025-11-22T07:52:20+13:00,47.7,-36.619717,174.773743,1,False
esp32_device_001,2025-11-22T07:52:25+13:00,41.8,-36.6203,174.773636,1,False
esp32_device_001,2025-11-22T07:52:30+13:00,34.5,-36.62088,174.773514,1,False
esp32_device_001,2025-11-22T07:52:35+13:00,28.8,-36.621311,174.773071,1,False
esp32_device_001,2025-11-22T07:52:40+13:00,26,-36.621731,174.772476,1,False
esp32_device_001,2025-11-22T07:52:45+13:00,29.7,-36.622219,174.771973,1,False
esp32_device_001,2025-11-22T07:52:50+13:00,34.5,-36.622707,174.771469,1,False
esp32_device_001,2025-11-22T07:52:55+13:00,39.4,-36.623192,174.770966,1,False
esp32_device_001,2025-11-22T07:53:00+13:00,43.8,-36.623646,174.770508,1,False
esp32_device_001,2025-11-22T07:53:05+13:00,47.7,-36.624092,174.77005,1,False
esp32_device_001,2025-11-22T07:53:10+13:00,52.4,-36.624649,174.769806,1,False
esp32_device_001,2025-11-22T07:53:15+13:00,54.5,-36.62524,174.769669,1,False
esp32_device_001,2025-11-22T07:53:20+13:00,52.7,-36.62582,174.769547,1,False
esp32_device_001,2025-11-22T07:53:25+13:00,49.7,-36.626411,174.769424,1,False
esp32_device_001,2025-11-22T07:53:30+13:00,46.2,-36.626995,174.769318,1,False
esp32_device_001,2025-11-22T07:53:35+13:00,43.4,-36.627602,174.769257,1,False
esp32_device_001,2025-11-22T07:53:38+13:00,41.9,-36.628136,174.769028,1,False
esp32_device_001,2025-11-22T07:53:43+13:00,40.4,-36.628433,174.768433,1,False
esp32_device_001,2025-11-22T07:53:48+13:00,39.5,-36.628799,174.767853,1,False
esp32_device_001,2025-11-22T07:53:53+13:00,41.6,-36.62936,174.767487,1,False
esp32_device_001,2025-11-22T07:53:58+13:00,44.5,-36.629826,174.76709,1,False
esp32_device_001,2025-11-22T07:54:03+13:00,44.7,-36.630077,174.766495,1,False
esp32_device_001,2025-11-22T07:54:08+13:00,42.3,-36.63028,174.765808,1,False
esp32_device_001,2025-11-22T07:54:13+13:00,40.2,-36.630558,174.765152,1,False
esp32_device_001,2025-11-22T07:54:18+13:00,37.8,-36.630848,174.764526,1,False
esp32_device_001,2025-11-22T07:54:23+13:00,35.4,-36.631195,174.764008,1,False
esp32_device_001,2025-11-22T07:54:28+13:00,32.7,-36.631706,174.763809,1,False
esp32_device_001,2025-11-22T07:54:33+13:00,28.7,-36.632309,174.763748,1,False
esp32_device_001,2025-11-22T07:54:38+13:00,25.3,-36.632935,174.763672,1,False
esp32_device_001,2025-11-22T07:54:43+13:00,22.5,-36.633579,174.763596,1,False
esp32_device_001,2025-11-22T07:54:48+13:00,20.9,-36.634224,174.763519,1,False
esp32_device_001,2025-11-22T07:54:53+13:00,19.8,-36.634819,174.763397,1,False
esp32_device_001,2025-11-22T07:54:58+13:00,21.7,-36.635296,174.763031,1,False
esp32_device_001,2025-11-22T07:55:03+13:00,21.9,-36.635765,174.76265,1,False
esp32_device_001,2025-11-22T07:55:08+13:00,20.2,-36.63625,174.762299,1,False
esp32_device_001,2025-11-22T07:55:13+13:00,16.4,-36.636765,174.761917,1,False
esp32_device_001,2025-11-22T07:55:18+13:00,14.9,-36.637299,174.76152,1,False
esp32_device_001,2025-11-22T07:55:23+13:00,16.7,-36.63773,174.761108,1,False
esp32_device_001,2025-11-22T07:55:28+13:00,16.2,-36.638065,174.760544,1,False
esp32_device_001,2025-11-22T07:55:33+13:00,17.8,-36.638428,174.759918,1,False
esp32_device_001,2025-11-22T07:55:38+13:00,23,-36.638775,174.759338,1,False
esp32_device_001,2025-11-22T07:55:43+13:00,28.3,-36.639118,174.758743,1,False
esp32_device_001,2025-11-22T07:55:48+13:00,33.6,-36.639545,174.758301,1,False
esp32_device_001,2025-11-22T07:55:53+13:00,36.9,-36.640057,174.757996,1,False
esp32_device_001,2025-11-22T07:55:58+13:00,40.7,-36.640579,174.75769,1,False
esp32_device_001,2025-11-22T07:56:03+13:00,43.3,-36.640976,174.757278,1,False
esp32_device_001,2025-11-22T07:56:08+13:00,42.8,-36.640957,174.756653,1,False
esp32_device_001,2025-11-22T07:56:13+13:00,41.8,-36.640656,174.756042,1,False
esp32_device_001,2025-11-22T07:56:18+13:00,40.5,-36.640335,174.755386,1,False
esp32_device_001,2025-11-22T07:56:23+13:00,40.2,-36.640007,174.75473,1,False
esp32_device_001,2025-11-22T07:56:28+13:00,41.5,-36.639679,174.754044,1,False
esp32_device_001,2025-11-22T07:56:33+13:00,43.9,-36.639301,174.753464,1,False
esp32_device_001,2025-11-22T07:56:38+13:00,45.7,-36.638939,174.752899,1,False
esp32_device_001,2025-11-22T07:56:43+13:00,46.6,-36.638596,174.752258,1,False
esp32_device_001,2025-11-22T07:56:48+13:00,45.5,-36.638264,174.751648,1,False
esp32_device_001,2025-11-22T07:56:53+13:00,43.9,-36.637924,174.751022,1,False
esp32_device_001,2025-11-22T07:56:58+13:00,47,-36.637577,174.750397,1,False
esp32_device_001,2025-11-22T07:57:03+13:00,51.8,-36.63726,174.749817,1,False
esp32_device_001,2025-11-22T07:57:08+13:00,54.4,-36.636963,174.749283,1,False
esp32_device_001,2025-11-22T07:57:13+13:00,55.6,-36.636646,174.748779,1,False
esp32_device_001,2025-11-22T07:57:18+13:00,54.9,-36.636242,174.748413,1,False
esp32_device_001,2025-11-22T07:57:23+13:00,52.1,-36.635815,174.747986,1,False
esp32_device_001,2025-11-22T07:57:28+13:00,46.9,-36.635452,174.747482,1,False
esp32_device_001,2025-11-22T07:57:33+13:00,41.5,-36.635269,174.746826,1,False
esp32_device_001,2025-11-22T07:57:38+13:00,35.2,-36.635242,174.74614,1,False
esp32_device_001,2025-11-22T07:57:43+13:00,32.6,-36.635212,174.745438,1,False
esp32_device_001,2025-11-22T07:57:48+13:00,30,-36.635174,174.744751,1,False
esp32_device_001,2025-11-22T07:57:53+13:00,26.3,-36.635143,174.744034,1,False
esp32_device_001,2025-11-22T07:57:58+13:00,22,-36.635109,174.743301,1,False
esp32_device_001,2025-11-22T07:58:03+13:00,19.6,-36.635063,174.742554,1,False
esp32_device_001,2025-11-22T07:58:08+13:00,19.4,-36.635044,174.742188,1,False
esp32_device_001,2025-11-22T07:58:13+13:00,19.5,-36.634979,174.742111,1,False
esp32_device_001,2025-11-22T07:58:18+13:00,17.2,-36.634682,174.742126,1,False
esp32_device_001,2025-11-22T07:58:23+13:00,15,-36.634331,174.742188,1,False
esp32_device_001,2025-11-22T07:58:28+13:00,13.6,-36.63406,174.742355,1,False
esp32_device_001,2025-11-22T07:58:33+13:00,13.8,-36.634026,174.742661,1,False
esp32_device_001,2025-11-22T07:58:58+13:00,17,-36.63409,174.743103,1,False
esp32_device_001,2025-11-22T07:59:03+13:00,17.6,-36.634094,174.74321,1,False
esp32_device_001,2025-11-22T07:59:08+13:00,18.4,-36.634019,174.742861,1,True
esp32_device_001,2025-11-22T07:59:13+13:00,19.1,-36.633989,174.742408,1,True
esp32_device_001,2025-11-22T07:59:18+13:00,19.9,-36.634073,174.742356,1,True
esp32_device_001,2025-11-22T07:59:23+13:00,20.6,-36.634310,174.742215,1,True
