dev_esp32,timestamp,altitude,latitude,longitude,journey_id,synthetic
esp32_device_001,2026-03-19T12:58:25+13:00,62.2,-36.604733,174.802734,1,False
esp32_device_001,2026-03-19T12:58:30+13:00,59.5,-36.604538,174.802628,1,False
esp32_device_001,2026-03-19T12:58:32.500000+13:00,59.0,-36.604346,174.802540,1,True
esp32_device_001,2026-03-19T12:58:35+13:00,58.4,-36.604183,174.802414,1,False
esp32_device_001,2026-03-19T12:58:36+13:00,58.1,-36.604083,174.802380,1,True
esp32_device_001,2026-03-19T12:58:37+13:00,57.9,-36.603918,174.802283,1,True
esp32_device_001,2026-03-19T12:58:38+13:00,57.6,-36.603848,174.802216,1,False
esp32_device_001,2026-03-19T12:58:43+13:00,56,-36.603733,174.80217,1,False
esp32_device_001,2026-03-19T12:58:48+13:00,56.5,-36.603676,174.802307,1,False
esp32_device_001,2026-03-19T12:58:53+13:00,61.7,-36.603783,174.802673,1,False
esp32_device_001,2026-03-19T12:58:55.500000+13:00,63.4,-36.603855,174.802966,1,True
esp32_device_001,2026-03-19T12:58:58+13:00,65.1,-36.603916,174.803192,1,False
esp32_device_001,2026-03-19T12:58:59.250000+13:00,65.4,-36.603966,174.803443,1,True
esp32_device_001,2026-03-19T12:59:00.500000+13:00,65.7,-36.603979,174.803547,1,True
esp32_device_001,2026-03-19T12:59:01.750000+13:00,65.9,-36.603971,174.803651,1,True
esp32_device_001,2026-03-19T12:59:03+13:00,66.2,-36.603951,174.803757,1,False
esp32_device_001,2026-03-19T12:59:05.500000+13:00,65.0,-36.603922,174.803839,1,True
esp32_device_001,2026-03-19T12:59:08+13:00,63.9,-36.603733,174.804337,1,False
esp32_device_001,2026-03-19T12:59:10.500000+13:00,63.0,-36.603505,174.804980,1,True
esp32_device_001,2026-03-19T12:59:13+13:00,62.1,-36.603485,174.805038,1,False
esp32_device_001,2026-03-19T12:59:14.666667+13:00,61.3,-36.603322,174.805461,1,True
esp32_device_001,2026-03-19T12:59:16.333333+13:00,60.4,-36.603245,174.805654,1,True
esp32_device_001,2026-03-19T12:59:18+13:00,59.6,-36.603226,174.80571,1,False
esp32_device_001,2026-03-19T12:59:20.500000+13:00,57.2,-36.603126,174.805924,1,True
esp32_device_001,2026-03-19T12:59:23+13:00,54.9,-36.602921,174.806366,1,False
esp32_device_001,2026-03-19T12:59:28+13:00,50.4,-36.6026,174.807053,1,False
esp32_device_001,2026-03-19T12:59:28.833333+13:00,49.6,-36.602566,174.807168,1,True
esp32_device_001,2026-03-19T12:59:29.666667+13:00,48.8,-36.602500,174.807311,1,True
esp32_device_001,2026-03-19T12:59:30.500000+13:00,48.0,-36.602453,174.807436,1,True
esp32_device_001,2026-03-19T12:59:31.333333+13:00,47.2,-36.602426,174.807556,1,True
esp32_device_001,2026-03-19T12:59:32.166667+13:00,46.4,-36.602406,174.807680,1,True
esp32_device_001,2026-03-19T12:59:33+13:00,45.6,-36.602398,174.807693,1,False
esp32_device_001,2026-03-19T12:59:35.500000+13:00,41.6,-36.602393,174.807915,1,True
esp32_device_001,2026-03-19T12:59:38+13:00,37.6,-36.602352,174.80835,1,False
esp32_device_001,2026-03-19T12:59:40.500000+13:00,35.2,-36.602360,174.808641,1,True
esp32_device_001,2026-03-19T12:59:43+13:00,32.9,-36.602318,174.808945,1,False
esp32_device_001,2026-03-19T12:59:45.500000+13:00,30.2,-36.602328,174.809053,1,True
esp32_device_001,2026-03-19T12:59:48+13:00,27.6,-36.602272,174.809509,1,False
esp32_device_001,2026-03-19T12:59:50.500000+13:00,24.4,-36.602272,174.809745,1,True
esp32_device_001,2026-03-19T12:59:53+13:00,21.2,-36.602222,174.810135,1,False
esp32_device_001,2026-03-19T12:59:58+13:00,15,-36.602169,174.810745,1,False
esp32_device_001,2026-03-19T13:00:03+13:00,10.8,-36.602123,174.811325,1,False
esp32_device_001,2026-03-19T13:00:08+13:00,8.5,-36.602047,174.8116,1,False
esp32_device_001,2026-03-19T13:00:13+13:00,9,-36.601959,174.811584,1,False
esp32_device_001,2026-03-19T14:59:02+13:00,3.9,-36.602116,174.811615,3,False
esp32_device_001,2026-03-19T14:59:07+13:00,6.3,-36.602173,174.811356,3,False
esp32_device_001,2026-03-19T14:59:12+13:00,10,-36.602207,174.810883,3,False
esp32_device_001,2026-03-19T14:59:17+13:00,13.3,-36.602257,174.810318,3,False
esp32_device_001,2026-03-19T14:59:19.500000+13:00,15.3,-36.602272,174.809745,3,True
esp32_device_001,2026-03-19T14:59:22+13:00,17.4,-36.60231,174.809677,3,False
esp32_device_001,2026-03-19T14:59:27+13:00,19.9,-36.602352,174.809143,3,False
esp32_device_001,2026-03-19T14:59:29.500000+13:00,20.8,-36.602328,174.809053,3,True
esp32_device_001,2026-03-19T14:59:32+13:00,21.6,-36.60239,174.80864,3,False
esp32_device_001,2026-03-19T14:59:37+13:00,26.4,-36.602421,174.808029,3,False
esp32_device_001,2026-03-19T14:59:38+13:00,27.6,-36.602393,174.807915,3,True
esp32_device_001,2026-03-19T14:59:39+13:00,28.7,-36.602406,174.807680,3,True
esp32_device_001,2026-03-19T14:59:40+13:00,29.9,-36.602426,174.807556,3,True
esp32_device_001,2026-03-19T14:59:41+13:00,31.0,-36.602453,174.807436,3,True
esp32_device_001,2026-03-19T14:59:42+13:00,32.2,-36.602501,174.807419,3,False
esp32_device_001,2026-03-19T14:59:43.666667+13:00,33.7,-36.602500,174.807311,3,True
esp32_device_001,2026-03-19T14:59:45.333333+13:00,35.1,-36.602566,174.807168,3,True
esp32_device_001,2026-03-19T14:59:47+13:00,36.6,-36.60273,174.80687,3,False
esp32_device_001,2026-03-19T14:59:52+13:00,41.2,-36.602997,174.806274,3,False
esp32_device_001,2026-03-19T14:59:54.500000+13:00,43.2,-36.603126,174.805924,3,True
esp32_device_001,2026-03-19T14:59:57+13:00,45.1,-36.603271,174.805679,3,False
esp32_device_001,2026-03-19T14:59:59.500000+13:00,46.2,-36.603322,174.805461,3,True
esp32_device_001,2026-03-19T15:00:02+13:00,47.3,-36.603516,174.805038,3,False
esp32_device_001,2026-03-19T15:00:04.500000+13:00,48.7,-36.603505,174.804980,3,True
esp32_device_001,2026-03-19T15:00:07+13:00,50.1,-36.603756,174.804352,3,False
esp32_device_001,2026-03-19T15:00:09.500000+13:00,50.8,-36.603922,174.803839,3,True
esp32_device_001,2026-03-19T15:00:12+13:00,51.5,-36.603966,174.803802,3,False
esp32_device_001,2026-03-19T15:00:13+13:00,51.0,-36.603951,174.803747,3,True
esp32_device_001,2026-03-19T15:00:14+13:00,50.6,-36.603971,174.803651,3,True
esp32_device_001,2026-03-19T15:00:15+13:00,50.1,-36.603979,174.803547,3,True
esp32_device_001,2026-03-19T15:00:16+13:00,49.7,-36.603966,174.803443,3,True
