dev_esp32,timestamp,altitude,latitude,longitude,journey_id,synthetic
esp32_device_001,2026-03-30T12:17:58+13:00,53.3,-36.604786,174.802689,1,False
esp32_device_001,2026-03-30T12:18:03+13:00,54.9,-36.604755,174.802719,1,False
esp32_device_001,2026-03-30T12:18:08+13:00,53.9,-36.604599,174.802673,1,False
esp32_device_001,2026-03-30T12:18:10.500000+13:00,53.5,-36.604346,174.802540,1,True
esp32_device_001,2026-03-30T12:18:13+13:00,53.2,-36.604294,174.802475,1,False
esp32_device_001,2026-03-30T12:18:14.666667+13:00,52.8,-36.604083,174.802380,1,True
esp32_device_001,2026-03-30T12:18:16.333333+13:00,52.4,-36.603918,174.802283,1,True
esp32_device_001,2026-03-30T12:18:18+13:00,52,-36.60392,174.802246,1,False
esp32_device_001,2026-03-30T12:18:23+13:00,52.2,-36.603683,174.802094,1,False
esp32_device_001,2026-03-30T12:18:25.500000+13:00,52.7,-36.603639,174.802077,1,True
esp32_device_001,2026-03-30T12:18:28+13:00,53.2,-36.603554,174.801636,1,False
esp32_device_001,2026-03-30T12:18:29.250000+13:00,53.2,-36.603446,174.801282,1,True
esp32_device_001,2026-03-30T12:18:30.500000+13:00,53.2,-36.603411,174.801140,1,True
esp32_device_001,2026-03-30T12:18:31.750000+13:00,53.1,-36.603379,174.801004,1,True
esp32_device_001,2026-03-30T12:18:33+13:00,53.1,-36.603386,174.800949,1,False
esp32_device_001,2026-03-30T12:18:35.500000+13:00,53.2,-36.603250,174.800456,1,True
esp32_device_001,2026-03-30T12:18:38+13:00,53.4,-36.603195,174.800201,1,False
esp32_device_001,2026-03-30T12:18:38.714286+13:00,53.4,-36.603160,174.800101,1,True
esp32_device_001,2026-03-30T12:18:39.428571+13:00,53.3,-36.603110,174.799895,1,True
esp32_device_001,2026-03-30T12:18:40.142857+13:00,53.3,-36.603092,174.799818,1,True
esp32_device_001,2026-03-30T12:18:40.857143+13:00,53.3,-36.603076,174.799733,1,True
esp32_device_001,2026-03-30T12:18:41.571429+13:00,53.3,-36.603065,174.799637,1,True
esp32_device_001,2026-03-30T12:18:42.285714+13:00,53.2,-36.603066,174.799538,1,True
esp32_device_001,2026-03-30T12:18:43+13:00,53.2,-36.6031,174.799484,1,False
esp32_device_001,2026-03-30T12:18:44+13:00,53.3,-36.603082,174.799420,1,True
esp32_device_001,2026-03-30T12:18:45+13:00,53.4,-36.603118,174.799312,1,True
esp32_device_001,2026-03-30T12:18:46+13:00,53.4,-36.603165,174.799204,1,True
esp32_device_001,2026-03-30T12:18:47+13:00,53.5,-36.603219,174.799100,1,True
esp32_device_001,2026-03-30T12:18:48+13:00,53.6,-36.603374,174.798843,1,False
esp32_device_001,2026-03-30T12:18:50.500000+13:00,53.3,-36.603456,174.798650,1,True
esp32_device_001,2026-03-30T12:18:53+13:00,53,-36.603729,174.798187,1,False
esp32_device_001,2026-03-30T12:18:54.666667+13:00,52.5,-36.603792,174.798029,1,True
esp32_device_001,2026-03-30T12:18:56.333333+13:00,52.1,-36.603838,174.797944,1,True
esp32_device_001,2026-03-30T12:18:58+13:00,51.6,-36.604107,174.79747,1,False
esp32_device_001,2026-03-30T12:19:00.500000+13:00,50.2,-36.604265,174.797153,1,True
esp32_device_001,2026-03-30T12:19:03+13:00,48.9,-36.604488,174.796768,1,False
esp32_device_001,2026-03-30T12:19:03.833333+13:00,48.5,-36.604561,174.796597,1,True
esp32_device_001,2026-03-30T12:19:04.666667+13:00,48.1,-36.604613,174.796482,1,True
esp32_device_001,2026-03-30T12:19:05.500000+13:00,47.6,-36.604641,174.796412,1,True
esp32_device_001,2026-03-30T12:19:06.333333+13:00,47.2,-36.604663,174.796340,1,True
esp32_device_001,2026-03-30T12:19:07.166667+13:00,46.8,-36.604700,174.796218,1,True
esp32_device_001,2026-03-30T12:19:08+13:00,46.4,-36.604736,174.796021,1,False
esp32_device_001,2026-03-30T12:19:09.666667+13:00,45.9,-36.604755,174.795973,1,True
esp32_device_001,2026-03-30T12:19:11.333333+13:00,45.3,-36.604846,174.795514,1,True
esp32_device_001,2026-03-30T12:19:13+13:00,44.8,-36.6049,174.795258,1,False
esp32_device_001,2026-03-30T12:19:15.500000+13:00,44.2,-36.604989,174.794807,1,True
esp32_device_001,2026-03-30T12:19:18+13:00,43.6,-36.605061,174.79451,1,False
esp32_device_001,2026-03-30T12:19:19.666667+13:00,41.7,-36.605161,174.793931,1,True
esp32_device_001,2026-03-30T12:19:21.333333+13:00,39.9,-36.605175,174.793832,1,True
esp32_device_001,2026-03-30T12:19:23+13:00,38,-36.605183,174.793747,1,False
esp32_device_001,2026-03-30T12:19:24+13:00,36.5,-36.605186,174.793658,1,True
esp32_device_001,2026-03-30T12:19:25+13:00,35.0,-36.605180,174.793563,1,True
esp32_device_001,2026-03-30T12:19:26+13:00,33.5,-36.605172,174.793455,1,True
esp32_device_001,2026-03-30T12:19:27+13:00,32.0,-36.605117,174.792976,1,True
esp32_device_001,2026-03-30T12:19:28+13:00,30.5,-36.605114,174.792953,1,False
esp32_device_001,2026-03-30T12:19:33+13:00,21.1,-36.605011,174.79213,1,False
esp32_device_001,2026-03-30T12:19:35.500000+13:00,20.6,-36.604955,174.791624,1,True
esp32_device_001,2026-03-30T12:19:38+13:00,20.1,-36.6049,174.791245,1,False
esp32_device_001,2026-03-30T12:19:39.250000+13:00,21.4,-36.604893,174.791112,1,True
esp32_device_001,2026-03-30T12:19:40.500000+13:00,22.7,-36.604858,174.790656,1,True
esp32_device_001,2026-03-30T12:19:41.750000+13:00,24.0,-36.604857,174.790521,1,True
esp32_device_001,2026-03-30T12:19:43+13:00,25.3,-36.604855,174.79039,1,False
esp32_device_001,2026-03-30T12:19:44.250000+13:00,26.1,-36.604861,174.790365,1,True
