dev_esp32,timestamp,altitude,latitude,longitude,journey_id
esp32_device_001,2026-04-29T08:55:58+12:00,53.1,-36.60482,174.80275,1
esp32_device_001,2026-04-29T09:10:47+12:00,54,-36.604607,174.802719,1
esp32_device_001,2026-04-29T09:10:52+12:00,52.3,-36.604298,174.802521,1
esp32_device_001,2026-04-29T09:10:57+12:00,51.7,-36.603901,174.802277,1
esp32_device_001,2026-04-29T09:11:02+12:00,51.5,-36.603664,174.802139,1
esp32_device_001,2026-04-29T09:11:07+12:00,51.3,-36.603554,174.801819,1
esp32_device_001,2026-04-29T09:11:12+12:00,52,-36.60342,174.801224,1
esp32_device_001,2026-04-29T09:11:17+12:00,52.6,-36.603237,174.800476,1
esp32_device_001,2026-04-29T09:11:22+12:00,53.1,-36.603069,174.799713,1
esp32_device_001,2026-04-29T09:11:27+12:00,52.3,-36.603249,174.799026,1
esp32_device_001,2026-04-29T09:11:32+12:00,50.5,-36.603611,174.79837,1
esp32_device_001,2026-04-29T09:11:37+12:00,50.9,-36.603981,174.797684,1
esp32_device_001,2026-04-29T09:11:42+12:00,52,-36.604355,174.797012,1
esp32_device_001,2026-04-29T09:11:47+12:00,50.8,-36.604664,174.796341,1
esp32_device_001,2026-04-29T09:11:52+12:00,49.3,-36.604832,174.795593,1
esp32_device_001,2026-04-29T09:11:57+12:00,45.1,-36.604984,174.794846,1
esp32_device_001,2026-04-29T09:12:02+12:00,39.9,-36.605125,174.794128,1
esp32_device_001,2026-04-29T09:12:07+12:00,32.8,-36.605167,174.793396,1
esp32_device_001,2026-04-29T09:12:12+12:00,23.6,-36.605072,174.792664,1
esp32_device_001,2026-04-29T09:12:17+12:00,14.5,-36.604973,174.791855,1
esp32_device_001,2026-04-29T09:12:22+12:00,16.3,-36.604874,174.790985,1
esp32_device_001,2026-04-29T09:12:27+12:00,20.8,-36.604866,174.790161,1
esp32_device_001,2026-04-29T09:12:32+12:00,24.2,-36.60495,174.789536,1
esp32_device_001,2026-04-29T09:12:37+12:00,26,-36.604988,174.789215,1
esp32_device_001,2026-04-29T09:12:42+12:00,25.4,-36.605034,174.788818,1
