dev_esp32,timestamp,altitude,latitude,longitude,journey_id,synthetic
esp32_device_001,2026-05-16T07:39:57+12:00,54.2,-36.604465,174.80217,1,False
esp32_device_001,2026-05-16T07:43:03.500000+12:00,52.2,-36.604346,174.802540,1,True
esp32_device_001,2026-05-16T07:46:10+12:00,50.1,-36.604729,174.802505,1,False
esp32_device_001,2026-05-16T07:46:15+12:00,50,-36.604725,174.802551,1,False
esp32_device_001,2026-05-16T07:46:20+12:00,50.5,-36.604702,174.802612,1,False
esp32_device_001,2026-05-16T07:46:25+12:00,51,-36.604679,174.802628,1,False
esp32_device_001,2026-05-16T07:46:30+12:00,52.2,-36.604599,174.802643,1,False
esp32_device_001,2026-05-16T07:46:32.500000+12:00,52.5,-36.604346,174.802540,1,True
esp32_device_001,2026-05-16T07:46:35+12:00,52.7,-36.604328,174.80249,1,False
esp32_device_001,2026-05-16T07:46:37.500000+12:00,52.1,-36.604083,174.802380,1,True
esp32_device_001,2026-05-16T07:46:40+12:00,51.5,-36.603954,174.802261,1,False
esp32_device_001,2026-05-16T07:46:40.714286+12:00,51.7,-36.603918,174.802283,1,True
esp32_device_001,2026-05-16T07:46:41.428571+12:00,51.9,-36.603823,174.802199,1,True
esp32_device_001,2026-05-16T07:46:42.142857+12:00,52.1,-36.603814,174.802194,1,True
esp32_device_001,2026-05-16T07:46:42.857143+12:00,52.3,-36.603769,174.802171,1,True
esp32_device_001,2026-05-16T07:46:43.571429+12:00,52.5,-36.603704,174.802153,1,True
esp32_device_001,2026-05-16T07:46:44.285714+12:00,52.7,-36.603662,174.802168,1,True
esp32_device_001,2026-05-16T07:46:45+12:00,52.9,-36.603676,174.802094,1,False
esp32_device_001,2026-05-16T07:46:50+12:00,52,-36.603535,174.801849,1,False
esp32_device_001,2026-05-16T07:46:55+12:00,50.3,-36.603458,174.801376,1,False
esp32_device_001,2026-05-16T07:46:56.250000+12:00,50.1,-36.603446,174.801282,1,True
esp32_device_001,2026-05-16T07:46:57.500000+12:00,50.0,-36.603411,174.801140,1,True
esp32_device_001,2026-05-16T07:46:58.750000+12:00,49.9,-36.603379,174.801004,1,True
esp32_device_001,2026-05-16T07:47:00+12:00,49.7,-36.603317,174.80069,1,False
esp32_device_001,2026-05-16T07:47:01.666667+12:00,49.7,-36.603250,174.800456,1,True
esp32_device_001,2026-05-16T07:47:03.333333+12:00,49.7,-36.603160,174.800101,1,True
esp32_device_001,2026-05-16T07:47:05+12:00,49.7,-36.603153,174.799942,1,False
esp32_device_001,2026-05-16T07:47:05.555556+12:00,50.2,-36.603110,174.799895,1,True
esp32_device_001,2026-05-16T07:47:06.111111+12:00,50.6,-36.603092,174.799818,1,True
esp32_device_001,2026-05-16T07:47:06.666667+12:00,51.1,-36.603076,174.799733,1,True
esp32_device_001,2026-05-16T07:47:07.222222+12:00,51.6,-36.603065,174.799637,1,True
esp32_device_001,2026-05-16T07:47:07.777778+12:00,52.0,-36.603066,174.799538,1,True
esp32_device_001,2026-05-16T07:47:08.333333+12:00,52.5,-36.603082,174.799420,1,True
esp32_device_001,2026-05-16T07:47:08.888889+12:00,53.0,-36.603118,174.799312,1,True
esp32_device_001,2026-05-16T07:47:09.444444+12:00,53.4,-36.603165,174.799204,1,True
esp32_device_001,2026-05-16T07:47:10+12:00,53.9,-36.603176,174.799194,1,False
esp32_device_001,2026-05-16T07:47:11.666667+12:00,53.7,-36.603219,174.799100,1,True
esp32_device_001,2026-05-16T07:47:13.333333+12:00,53.4,-36.603456,174.798650,1,True
esp32_device_001,2026-05-16T07:47:15+12:00,53.2,-36.603512,174.798538,1,False
esp32_device_001,2026-05-16T07:47:16.666667+12:00,53.2,-36.603792,174.798029,1,True
esp32_device_001,2026-05-16T07:47:18.333333+12:00,53.2,-36.603838,174.797944,1,True
esp32_device_001,2026-05-16T07:47:20+12:00,53.2,-36.603897,174.797836,1,False
esp32_device_001,2026-05-16T07:47:22.500000+12:00,52.9,-36.604265,174.797153,1,True
esp32_device_001,2026-05-16T07:47:25+12:00,52.6,-36.604294,174.797104,1,False
esp32_device_001,2026-05-16T07:47:26.250000+12:00,52.8,-36.604561,174.796597,1,True
esp32_device_001,2026-05-16T07:47:27.500000+12:00,52.9,-36.604613,174.796482,1,True
esp32_device_001,2026-05-16T07:47:28.750000+12:00,53.1,-36.604641,174.796412,1,True
esp32_device_001,2026-05-16T07:47:30+12:00,53.2,-36.604645,174.796326,1,False
esp32_device_001,2026-05-16T07:47:31.250000+12:00,53.1,-36.604700,174.796218,1,True
esp32_device_001,2026-05-16T07:47:32.500000+12:00,53.0,-36.604755,174.795973,1,True
esp32_device_001,2026-05-16T07:47:33.750000+12:00,52.9,-36.604846,174.795514,1,True
esp32_device_001,2026-05-16T07:47:35+12:00,52.8,-36.604843,174.795486,1,False
esp32_device_001,2026-05-16T07:47:37.500000+12:00,51.6,-36.604989,174.794807,1,True
esp32_device_001,2026-05-16T07:47:40+12:00,50.4,-36.605019,174.794632,1,False
esp32_device_001,2026-05-16T07:47:41.666667+12:00,48.3,-36.605161,174.793931,1,True
esp32_device_001,2026-05-16T07:47:43.333333+12:00,46.3,-36.605175,174.793832,1,True
esp32_device_001,2026-05-16T07:47:45+12:00,44.2,-36.605167,174.793808,1,False
esp32_device_001,2026-05-16T07:47:46+12:00,42.6,-36.605184,174.793754,1,True
esp32_device_001,2026-05-16T07:47:47+12:00,41.0,-36.605186,174.793658,1,True
esp32_device_001,2026-05-16T07:47:48+12:00,39.3,-36.605180,174.793563,1,True
esp32_device_001,2026-05-16T07:47:49+12:00,37.7,-36.605172,174.793455,1,True
esp32_device_001,2026-05-16T07:47:50+12:00,36.1,-36.605145,174.79303,1,False
esp32_device_001,2026-05-16T07:47:52.500000+12:00,33.3,-36.605117,174.792976,1,True
esp32_device_001,2026-05-16T07:47:55+12:00,30.5,-36.605034,174.792191,1,False
esp32_device_001,2026-05-16T07:47:57.500000+12:00,28.4,-36.604955,174.791624,1,True
esp32_device_001,2026-05-16T07:48:00+12:00,26.2,-36.604939,174.791306,1,False
esp32_device_001,2026-05-16T07:48:01.250000+12:00,25.8,-36.604893,174.791112,1,True
esp32_device_001,2026-05-16T07:48:02.500000+12:00,25.4,-36.604858,174.790656,1,True
esp32_device_001,2026-05-16T07:48:03.750000+12:00,25.0,-36.604857,174.790521,1,True
esp32_device_001,2026-05-16T07:48:05+12:00,24.6,-36.604908,174.790497,1,False
esp32_device_001,2026-05-16T07:48:06.250000+12:00,25.0,-36.604861,174.790365,1,True
esp32_device_001,2026-05-16T07:48:07.500000+12:00,25.4,-36.604878,174.790160,1,True
esp32_device_001,2026-05-16T07:48:08.750000+12:00,25.8,-36.604900,174.789963,1,True
esp32_device_001,2026-05-16T07:48:10+12:00,26.2,-36.604996,174.789719,1,False
esp32_device_001,2026-05-16T07:48:12.500000+12:00,27.3,-36.604989,174.789355,1,True
esp32_device_001,2026-05-16T07:48:15+12:00,28.4,-36.60511,174.78891,1,False
esp32_device_001,2026-05-16T07:48:17.500000+12:00,29.9,-36.605073,174.788703,1,True
esp32_device_001,2026-05-16T07:48:20+12:00,31.4,-36.605206,174.788086,1,False
esp32_device_001,2026-05-16T07:48:25+12:00,34.2,-36.605312,174.787292,1,False
esp32_device_001,2026-05-16T07:48:25.833333+12:00,35.6,-36.605279,174.787059,1,True
esp32_device_001,2026-05-16T07:48:26.666667+12:00,36.9,-36.605316,174.786860,1,True
esp32_device_001,2026-05-16T07:48:27.500000+12:00,38.2,-36.605344,174.786755,1,True
esp32_device_001,2026-05-16T07:48:28.333333+12:00,39.6,-36.605379,174.786658,1,True
esp32_device_001,2026-05-16T07:48:29.166667+12:00,40.9,-36.605418,174.786562,1,True
esp32_device_001,2026-05-16T07:48:30+12:00,42.3,-36.60548,174.786591,1,False
esp32_device_001,2026-05-16T07:48:31+12:00,44.0,-36.605463,174.786476,1,True
esp32_device_001,2026-05-16T07:48:32+12:00,45.8,-36.605521,174.786380,1,True
esp32_device_001,2026-05-16T07:48:33+12:00,47.5,-36.605587,174.786292,1,True
esp32_device_001,2026-05-16T07:48:34+12:00,49.3,-36.605788,174.786079,1,True
esp32_device_001,2026-05-16T07:48:35+12:00,51,-36.605904,174.786057,1,False
esp32_device_001,2026-05-16T07:48:40+12:00,57.3,-36.606407,174.785599,1,False
esp32_device_001,2026-05-16T07:48:42.500000+12:00,60.1,-36.606576,174.785376,1,True
esp32_device_001,2026-05-16T07:48:45+12:00,63,-36.606949,174.78511,1,False
esp32_device_001,2026-05-16T07:48:46.666667+12:00,64.1,-36.606981,174.785015,1,True
esp32_device_001,2026-05-16T07:48:48.333333+12:00,65.2,-36.607484,174.784558,1,True
esp32_device_001,2026-05-16T07:48:50+12:00,66.3,-36.607517,174.784576,1,False
esp32_device_001,2026-05-16T07:48:52.500000+12:00,65.0,-36.608013,174.784081,1,True
esp32_device_001,2026-05-16T07:48:55+12:00,63.6,-36.608139,174.784012,1,False
esp32_device_001,2026-05-16T07:48:57.500000+12:00,61.5,-36.608449,174.783689,1,True
esp32_device_001,2026-05-16T07:49:00+12:00,59.4,-36.608768,174.783447,1,False
