dev_esp32,timestamp,altitude,latitude,longitude
esp32_device_001,2025-10-25T07:41:32+13:00,54.2,-36.604912,174.802582
esp32_device_001,2025-10-25T07:41:37+13:00,54.2,-36.604939,174.802612
esp32_device_001,2025-10-25T07:41:42+13:00,54.1,-36.604939,174.802612
esp32_device_001,2025-10-25T07:41:47+13:00,53.8,-36.60495,174.802628
esp32_device_001,2025-10-25T07:41:52+13:00,53.7,-36.604946,174.802612
esp32_device_001,2025-10-25T07:41:57+13:00,53.5,-36.604931,174.802597
esp32_device_001,2025-10-25T07:42:02+13:00,53,-36.604904,174.802582
esp32_device_001,2025-10-25T07:42:07+13:00,53.4,-36.6049,174.802582
esp32_device_001,2025-10-25T07:42:12+13:00,53.3,-36.6049,174.802582
esp32_device_001,2025-10-25T07:42:17+13:00,53.4,-36.604893,174.802567
esp32_device_001,2025-10-25T07:42:22+13:00,52.8,-36.604877,174.802567
esp32_device_001,2025-10-25T07:42:27+13:00,52.9,-36.604862,174.802551
esp32_device_001,2025-10-25T07:42:32+13:00,52.7,-36.604851,174.802536
esp32_device_001,2025-10-25T07:42:37+13:00,53.4,-36.604851,174.802536
esp32_device_001,2025-10-25T07:42:42+13:00,53.2,-36.604851,174.802536
esp32_device_001,2025-10-25T07:42:47+13:00,53,-36.604866,174.802551
esp32_device_001,2025-10-25T07:42:52+13:00,52.2,-36.604858,174.802551
esp32_device_001,2025-10-25T07:42:57+13:00,52.1,-36.60487,174.802567
esp32_device_001,2025-10-25T07:43:02+13:00,52.5,-36.604877,174.802567
esp32_device_001,2025-10-25T07:43:07+13:00,53.1,-36.604877,174.802567
esp32_device_001,2025-10-25T07:43:12+13:00,52.4,-36.604877,174.802567
esp32_device_001,2025-10-25T07:43:17+13:00,51.2,-36.604858,174.802551
esp32_device_001,2025-10-25T07:43:22+13:00,51.5,-36.604858,174.802551
esp32_device_001,2025-10-25T07:43:27+13:00,51.3,-36.604851,174.802551
esp32_device_001,2025-10-25T07:43:32+13:00,52.9,-36.604858,174.802551
esp32_device_001,2025-10-25T07:43:37+13:00,53.4,-36.604816,174.802597
esp32_device_001,2025-10-25T07:43:42+13:00,54.5,-36.604774,174.802658
esp32_device_001,2025-10-25T07:43:47+13:00,54.6,-36.604755,174.802719
esp32_device_001,2025-10-25T07:43:52+13:00,55.2,-36.604702,174.80275
esp32_device_001,2025-10-25T07:43:57+13:00,55.4,-36.604496,174.802628
esp32_device_001,2025-10-25T07:44:02+13:00,54.6,-36.604137,174.802399
esp32_device_001,2025-10-25T07:44:07+13:00,54.3,-36.603813,174.8022
esp32_device_001,2025-10-25T07:44:12+13:00,54,-36.603657,174.802048
esp32_device_001,2025-10-25T07:44:17+13:00,53.5,-36.603539,174.80159
esp32_device_001,2025-10-25T07:44:22+13:00,53.5,-36.603394,174.800964
esp32_device_001,2025-10-25T07:44:27+13:00,53.4,-36.603222,174.800278
esp32_device_001,2025-10-25T07:44:32+13:00,52.9,-36.603077,174.799622
esp32_device_001,2025-10-25T07:44:37+13:00,53.7,-36.603294,174.798996
esp32_device_001,2025-10-25T07:44:42+13:00,54.5,-36.603649,174.79834
esp32_device_001,2025-10-25T07:44:47+13:00,55.2,-36.604,174.797684
esp32_device_001,2025-10-25T07:44:52+13:00,55.3,-36.604343,174.797058
esp32_device_001,2025-10-25T07:44:57+13:00,54.5,-36.604664,174.796417
esp32_device_001,2025-10-25T07:45:02+13:00,51.7,-36.604858,174.7957
esp32_device_001,2025-10-25T07:45:07+13:00,48.2,-36.605007,174.794922
esp32_device_001,2025-10-25T07:45:12+13:00,44,-36.605164,174.794159
esp32_device_001,2025-10-25T07:45:17+13:00,36.9,-36.605194,174.793365
esp32_device_001,2025-10-25T07:45:22+13:00,29.3,-36.605087,174.792572
esp32_device_001,2025-10-25T07:45:27+13:00,21.8,-36.604984,174.791763
esp32_device_001,2025-10-25T07:45:32+13:00,21.7,-36.604897,174.790924
esp32_device_001,2025-10-25T07:45:37+13:00,26.2,-36.6049,174.790131
esp32_device_001,2025-10-25T07:45:42+13:00,30.7,-36.605007,174.789337
esp32_device_001,2025-10-25T07:45:47+13:00,35.2,-36.605099,174.788559
esp32_device_001,2025-10-25T07:45:52+13:00,41.4,-36.605198,174.78775
esp32_device_001,2025-10-25T07:45:57+13:00,50.3,-36.605309,174.786942
esp32_device_001,2025-10-25T07:46:02+13:00,56.9,-36.605637,174.78627
esp32_device_001,2025-10-25T07:46:07+13:00,60.9,-36.606167,174.785767
esp32_device_001,2025-10-25T07:46:12+13:00,66.2,-36.606709,174.785294
esp32_device_001,2025-10-25T07:46:17+13:00,68.9,-36.607227,174.784821
esp32_device_001,2025-10-25T07:46:22+13:00,68.3,-36.60778,174.784317
esp32_device_001,2025-10-25T07:46:27+13:00,66.1,-36.608376,174.783798
esp32_device_001,2025-10-25T07:46:32+13:00,64.4,-36.608974,174.783264
