dev_esp32,timestamp,altitude,latitude,longitude,journey_id
esp32_device_001,2026-05-19T09:29:29+12:00,62.6,-36.604664,174.802521,1
esp32_device_001,2026-05-19T09:33:56+12:00,0,-36.604538,174.802429,1
esp32_device_001,2026-05-19T09:34:06+12:00,82.3,-36.604572,174.80246,1
esp32_device_001,2026-05-19T09:34:11+12:00,82.3,-36.604568,174.80246,1
esp32_device_001,2026-05-19T09:34:16+12:00,79.3,-36.604584,174.802475,1
esp32_device_001,2026-05-19T09:34:21+12:00,77.3,-36.604595,174.802475,1
esp32_device_001,2026-05-19T09:34:26+12:00,77.1,-36.604599,174.802475,1
esp32_device_001,2026-05-19T09:34:31+12:00,74.7,-36.604618,174.80249,1
esp32_device_001,2026-05-19T09:34:36+12:00,75.1,-36.604618,174.80249,1
esp32_device_001,2026-05-19T10:00:58+12:00,0,-36.605049,174.802826,2
esp32_device_001,2026-05-19T10:01:08+12:00,0,-36.605068,174.802841,2
esp32_device_001,2026-05-19T10:01:33+12:00,-19.3,-36.604942,174.802826,2
esp32_device_001,2026-05-19T10:01:38+12:00,-1.4,-36.6045,174.802673,2
esp32_device_001,2026-05-19T10:01:43+12:00,17.3,-36.604279,174.802521,2
esp32_device_001,2026-05-19T10:01:48+12:00,34.6,-36.604156,174.802429,2
esp32_device_001,2026-05-19T10:01:53+12:00,51.1,-36.603962,174.802307,2
esp32_device_001,2026-05-19T10:01:58+12:00,71.2,-36.60376,174.802155,2
esp32_device_001,2026-05-19T10:02:28+12:00,63.6,-36.6045,174.802444,2
esp32_device_001,2026-05-19T10:02:33+12:00,64.6,-36.604507,174.802444,2
esp32_device_001,2026-05-19T10:02:38+12:00,63.1,-36.604565,174.80246,2
esp32_device_001,2026-05-19T10:02:43+12:00,62.6,-36.604622,174.802475,2
esp32_device_001,2026-05-19T10:02:48+12:00,63.5,-36.604675,174.80249,2
esp32_device_001,2026-05-19T10:02:53+12:00,54.7,-36.604778,174.802551,2
esp32_device_001,2026-05-19T10:02:58+12:00,53.7,-36.604786,174.802551,2
esp32_device_001,2026-05-19T10:03:03+12:00,52.6,-36.604778,174.802567,2
esp32_device_001,2026-05-19T10:03:08+12:00,55,-36.60479,174.802567,2
esp32_device_001,2026-05-19T10:03:13+12:00,56.9,-36.604801,174.802551,2
esp32_device_001,2026-05-19T10:03:18+12:00,59.8,-36.604813,174.802551,2
esp32_device_001,2026-05-19T10:03:23+12:00,62,-36.604816,174.802536,2
esp32_device_001,2026-05-19T10:03:28+12:00,65.6,-36.60482,174.802536,2
esp32_device_001,2026-05-19T10:03:33+12:00,73.8,-36.604858,174.802505,2
esp32_device_001,2026-05-19T10:03:38+12:00,74.4,-36.604858,174.802505,2
esp32_device_001,2026-05-19T10:03:43+12:00,73.7,-36.604851,174.802521,2
esp32_device_001,2026-05-19T10:03:48+12:00,73.3,-36.604847,174.802521,2
esp32_device_001,2026-05-19T10:03:53+12:00,90,-36.604877,174.80249,2
esp32_device_001,2026-05-19T10:03:58+12:00,101.2,-36.604893,174.802475,2
esp32_device_001,2026-05-19T10:04:03+12:00,134.2,-36.604935,174.802414,2
esp32_device_001,2026-05-19T10:04:08+12:00,130.6,-36.604916,174.802429,2
esp32_device_001,2026-05-19T10:04:13+12:00,125.8,-36.604897,174.802429,2
esp32_device_001,2026-05-19T10:04:18+12:00,121.9,-36.604881,174.802444,2
esp32_device_001,2026-05-19T10:04:23+12:00,119.2,-36.604877,174.802444,2
esp32_device_001,2026-05-19T10:04:28+12:00,115,-36.604862,174.80246,2
esp32_device_001,2026-05-19T10:04:33+12:00,111.1,-36.604851,174.802475,2
esp32_device_001,2026-05-19T10:04:38+12:00,107.5,-36.604843,174.80249,2
esp32_device_001,2026-05-19T10:04:43+12:00,102.4,-36.604847,174.80249,2
esp32_device_001,2026-05-19T10:04:48+12:00,98.8,-36.604843,174.80249,2
esp32_device_001,2026-05-19T10:04:53+12:00,96.5,-36.604832,174.802505,2
esp32_device_001,2026-05-19T10:04:58+12:00,94.2,-36.604836,174.80249,2
esp32_device_001,2026-05-19T10:05:03+12:00,93,-36.604839,174.80249,2
esp32_device_001,2026-05-19T10:05:08+12:00,91.5,-36.604836,174.80249,2
esp32_device_001,2026-05-19T10:05:13+12:00,89.6,-36.604836,174.802505,2
esp32_device_001,2026-05-19T10:05:33+12:00,89.6,-36.604786,174.802536,2
esp32_device_001,2026-05-19T10:05:38+12:00,89.6,-36.604774,174.802536,2
esp32_device_001,2026-05-19T10:05:43+12:00,89.6,-36.604774,174.802536,2
esp32_device_001,2026-05-19T10:05:48+12:00,89.6,-36.604771,174.802536,2
esp32_device_001,2026-05-19T10:05:53+12:00,89.6,-36.604755,174.802551,2
esp32_device_001,2026-05-19T10:05:58+12:00,89.6,-36.604748,174.802551,2
esp32_device_001,2026-05-19T10:06:03+12:00,89.6,-36.604744,174.802551,2
esp32_device_001,2026-05-19T10:06:08+12:00,89.6,-36.60474,174.802567,2
esp32_device_001,2026-05-19T10:06:13+12:00,89.6,-36.604748,174.802551,2
esp32_device_001,2026-05-19T10:06:18+12:00,89.6,-36.604736,174.802567,2
esp32_device_001,2026-05-19T10:06:23+12:00,89.6,-36.60471,174.802582,2
esp32_device_001,2026-05-19T10:06:28+12:00,89.6,-36.604736,174.802551,2
esp32_device_001,2026-05-19T10:06:33+12:00,89.6,-36.604733,174.802567,2
esp32_device_001,2026-05-19T10:06:38+12:00,89.6,-36.604733,174.802567,2
esp32_device_001,2026-05-19T10:06:43+12:00,89.6,-36.604729,174.802582,2
esp32_device_001,2026-05-19T10:06:48+12:00,89.6,-36.604752,174.802567,2
esp32_device_001,2026-05-19T10:06:53+12:00,89.6,-36.60479,174.802536,2
esp32_device_001,2026-05-19T10:06:58+12:00,89.6,-36.604877,174.802444,2
esp32_device_001,2026-05-19T10:07:03+12:00,89.6,-36.604916,174.802414,2
esp32_device_001,2026-05-19T10:07:08+12:00,89.6,-36.604942,174.802383,2
esp32_device_001,2026-05-19T10:07:13+12:00,89.6,-36.604988,174.802353,2
esp32_device_001,2026-05-19T10:07:18+12:00,89.6,-36.605011,174.802383,2
esp32_device_001,2026-05-19T10:07:23+12:00,89.6,-36.605053,174.802353,2
esp32_device_001,2026-05-19T10:07:28+12:00,89.6,-36.605064,174.802338,2
esp32_device_001,2026-05-19T10:07:33+12:00,89.6,-36.605042,174.802353,2
esp32_device_001,2026-05-19T10:07:38+12:00,89.6,-36.605053,174.802307,2
esp32_device_001,2026-05-19T10:07:43+12:00,89.6,-36.605057,174.802292,2
esp32_device_001,2026-05-19T10:07:48+12:00,89.6,-36.605015,174.802338,2
esp32_device_001,2026-05-19T10:07:53+12:00,89.6,-36.604889,174.802475,2
esp32_device_001,2026-05-19T10:07:58+12:00,89.6,-36.604843,174.80249,2
esp32_device_001,2026-05-19T10:08:03+12:00,89.6,-36.604828,174.802505,2
esp32_device_001,2026-05-19T10:08:08+12:00,89.6,-36.604832,174.802521,2
esp32_device_001,2026-05-19T10:08:13+12:00,89.6,-36.604851,174.802536,2
esp32_device_001,2026-05-19T10:08:18+12:00,89.6,-36.604855,174.802551,2
esp32_device_001,2026-05-19T10:08:28+12:00,89.6,-36.604874,174.802521,2
esp32_device_001,2026-05-19T10:08:33+12:00,89.6,-36.604836,174.802536,2
esp32_device_001,2026-05-19T10:08:38+12:00,89.6,-36.604828,174.802521,2
esp32_device_001,2026-05-19T10:08:43+12:00,89.6,-36.604816,174.802505,2
esp32_device_001,2026-05-19T10:08:48+12:00,89.6,-36.604809,174.802505,2
esp32_device_001,2026-05-19T10:08:53+12:00,89.6,-36.604809,174.80249,2
esp32_device_001,2026-05-19T10:08:58+12:00,89.6,-36.604832,174.802475,2
esp32_device_001,2026-05-19T10:09:03+12:00,89.6,-36.604824,174.802475,2
esp32_device_001,2026-05-19T10:09:08+12:00,89.6,-36.604816,174.802521,2
esp32_device_001,2026-05-19T10:09:13+12:00,89.6,-36.604813,174.802521,2
esp32_device_001,2026-05-19T10:09:18+12:00,89.6,-36.60479,174.802536,2
esp32_device_001,2026-05-19T10:09:23+12:00,89.6,-36.604778,174.802521,2
esp32_device_001,2026-05-19T10:09:28+12:00,89.6,-36.604794,174.802475,2
esp32_device_001,2026-05-19T10:09:33+12:00,89.6,-36.604794,174.80249,2
esp32_device_001,2026-05-19T10:09:38+12:00,89.6,-36.60479,174.80249,2
esp32_device_001,2026-05-19T10:09:43+12:00,89.6,-36.604771,174.80249,2
