dev_esp32,timestamp,altitude,latitude,longitude,journey_id
esp32_device_001,2025-11-19T05:46:38+13:00,55.4,-36.604458,174.802582,1
esp32_device_001,2025-11-19T05:46:43+13:00,54.4,-36.604103,174.802383,1
esp32_device_001,2025-11-19T05:46:48+13:00,54.6,-36.603786,174.802185,1
esp32_device_001,2025-11-19T05:46:53+13:00,54.5,-36.603622,174.802017,1
esp32_device_001,2025-11-19T05:46:58+13:00,53.5,-36.603508,174.801544,1
esp32_device_001,2025-11-19T05:47:03+13:00,53,-36.603348,174.800903,1
esp32_device_001,2025-11-19T05:47:08+13:00,52.6,-36.603153,174.800171,1
esp32_device_001,2025-11-19T05:47:13+13:00,53.1,-36.603054,174.799454,1
esp32_device_001,2025-11-19T05:47:18+13:00,53.4,-36.60334,174.798782,1
esp32_device_001,2025-11-19T05:47:23+13:00,54,-36.603699,174.798141,1
esp32_device_001,2025-11-19T05:47:28+13:00,54,-36.604057,174.79747,1
esp32_device_001,2025-11-19T05:47:33+13:00,54.1,-36.604435,174.796799,1
esp32_device_001,2025-11-19T05:47:38+13:00,53.6,-36.604717,174.796082,1
esp32_device_001,2025-11-19T05:47:43+13:00,50.2,-36.604877,174.795303,1
esp32_device_001,2025-11-19T05:47:48+13:00,46.1,-36.605026,174.794525,1
esp32_device_001,2025-11-19T05:47:53+13:00,40.1,-36.605156,174.793716,1
esp32_device_001,2025-11-19T05:47:58+13:00,30.5,-36.605068,174.792877,1
esp32_device_001,2025-11-19T05:48:03+13:00,20.2,-36.604965,174.792007,1
esp32_device_001,2025-11-19T05:48:08+13:00,17.6,-36.604847,174.791077,1
esp32_device_001,2025-11-19T05:48:13+13:00,22.5,-36.604824,174.790207,1
esp32_device_001,2025-11-19T05:48:18+13:00,27.3,-36.60495,174.789352,1
esp32_device_001,2025-11-19T05:48:23+13:00,32.3,-36.605083,174.788513,1
esp32_device_001,2025-11-19T05:48:28+13:00,39.3,-36.605206,174.787674,1
esp32_device_001,2025-11-19T05:48:33+13:00,47.8,-36.605335,174.786865,1
esp32_device_001,2025-11-19T05:48:38+13:00,55.4,-36.605679,174.786224,1
esp32_device_001,2025-11-19T05:48:43+13:00,59.7,-36.606186,174.785751,1
esp32_device_001,2025-11-19T05:48:48+13:00,65,-36.606724,174.785263,1
esp32_device_001,2025-11-19T05:48:53+13:00,68.1,-36.607288,174.784775,1
esp32_device_001,2025-11-19T05:48:58+13:00,67.7,-36.607849,174.784256,1
esp32_device_001,2025-11-19T05:49:03+13:00,64.5,-36.608444,174.783737,1
esp32_device_001,2025-11-19T05:49:08+13:00,63.8,-36.609051,174.783188,1
esp32_device_001,2025-11-19T05:49:13+13:00,65.2,-36.609566,174.782532,1
esp32_device_001,2025-11-19T05:49:18+13:00,68.3,-36.609871,174.781693,1
esp32_device_001,2025-11-19T05:49:23+13:00,73.3,-36.610191,174.780899,1
esp32_device_001,2025-11-19T05:49:28+13:00,77.6,-36.610744,174.780441,1
esp32_device_001,2025-11-19T05:49:33+13:00,78.2,-36.611275,174.780151,1
esp32_device_001,2025-11-19T05:49:38+13:00,78.3,-36.611603,174.7798,1
esp32_device_001,2025-11-19T05:49:43+13:00,79.2,-36.611759,174.779541,1
esp32_device_001,2025-11-19T05:49:48+13:00,79.2,-36.611855,174.779068,1
esp32_device_001,2025-11-19T05:49:53+13:00,78,-36.61198,174.778442,1
esp32_device_001,2025-11-19T05:49:58+13:00,77.8,-36.612186,174.777771,1
esp32_device_001,2025-11-19T05:50:03+13:00,78.6,-36.612499,174.777145,1
esp32_device_001,2025-11-19T05:50:08+13:00,81.1,-36.612816,174.77652,1
esp32_device_001,2025-11-19T05:50:13+13:00,82.5,-36.613144,174.775864,1
esp32_device_001,2025-11-19T05:50:18+13:00,83.8,-36.613556,174.775314,1
esp32_device_001,2025-11-19T05:50:23+13:00,83.5,-36.61414,174.774994,1
esp32_device_001,2025-11-19T05:50:28+13:00,81.3,-36.614822,174.774948,1
esp32_device_001,2025-11-19T05:50:33+13:00,80.1,-36.615509,174.774841,1
esp32_device_001,2025-11-19T05:50:38+13:00,78.9,-36.616127,174.77446,1
esp32_device_001,2025-11-19T05:50:43+13:00,76.6,-36.61673,174.774094,1
esp32_device_001,2025-11-19T05:50:48+13:00,68.9,-36.617416,174.773987,1
esp32_device_001,2025-11-19T05:50:53+13:00,63.3,-36.618076,174.774017,1
esp32_device_001,2025-11-19T05:50:58+13:00,57,-36.618752,174.773987,1
esp32_device_001,2025-11-19T05:51:03+13:00,49.3,-36.619404,174.773804,1
esp32_device_001,2025-11-19T05:51:08+13:00,42.7,-36.620041,174.773651,1
esp32_device_001,2025-11-19T05:51:13+13:00,35.2,-36.620724,174.773514,1
esp32_device_001,2025-11-19T05:51:18+13:00,26.7,-36.62125,174.773056,1
esp32_device_001,2025-11-19T05:51:23+13:00,22.7,-36.621754,174.772415,1
