dev_esp32,timestamp,altitude,latitude,longitude,journey_id,synthetic
esp32_device_001,2026-03-30T12:17:58+13:00,53.3,-36.604786,174.802689,1,False
esp32_device_001,2026-03-30T12:18:03+13:00,54.9,-36.604755,174.802719,1,False
esp32_device_001,2026-03-30T12:18:08+13:00,53.9,-36.604599,174.802673,1,False
esp32_device_001,2026-03-30T12:18:13+13:00,53.2,-36.604294,174.802475,1,False
esp32_device_001,2026-03-30T12:18:18+13:00,52,-36.60392,174.802246,1,False
esp32_device_001,2026-03-30T12:18:23+13:00,52.2,-36.603683,174.802094,1,False
esp32_device_001,2026-03-30T12:18:28+13:00,53.2,-36.603554,174.801636,1,False
esp32_device_001,2026-03-30T12:18:33+13:00,53.1,-36.603386,174.800949,1,False
esp32_device_001,2026-03-30T12:18:38+13:00,53.4,-36.603195,174.800201,1,False
esp32_device_001,2026-03-30T12:18:43+13:00,53.2,-36.6031,174.799484,1,False
esp32_device_001,2026-03-30T12:18:48+13:00,53.6,-36.603374,174.798843,1,False
esp32_device_001,2026-03-30T12:18:53+13:00,53,-36.603729,174.798187,1,False
esp32_device_001,2026-03-30T12:18:58+13:00,51.6,-36.604107,174.79747,1,False
esp32_device_001,2026-03-30T12:19:03+13:00,48.9,-36.604488,174.796768,1,False
esp32_device_001,2026-03-30T12:19:08+13:00,46.4,-36.604736,174.796021,1,False
esp32_device_001,2026-03-30T12:19:13+13:00,44.8,-36.6049,174.795258,1,False
esp32_device_001,2026-03-30T12:19:18+13:00,43.6,-36.605061,174.79451,1,False
esp32_device_001,2026-03-30T12:19:23+13:00,38,-36.605183,174.793747,1,False
esp32_device_001,2026-03-30T12:19:28+13:00,30.5,-36.605114,174.792953,1,False
esp32_device_001,2026-03-30T12:19:33+13:00,21.1,-36.605011,174.79213,1,False
esp32_device_001,2026-03-30T12:19:38+13:00,20.1,-36.6049,174.791245,1,False
esp32_device_001,2026-03-30T12:19:43+13:00,25.3,-36.604855,174.79039,1,False
esp32_device_001,2026-03-30T12:19:48+13:00,28.3,-36.604935,174.789566,1,False
esp32_device_001,2026-03-30T12:19:53+13:00,30.5,-36.60503,174.788742,1,False
esp32_device_001,2026-03-30T12:19:58+13:00,34.8,-36.605125,174.787903,1,False
esp32_device_001,2026-03-30T12:20:03+13:00,39.5,-36.605217,174.787109,1,False
esp32_device_001,2026-03-30T12:20:08+13:00,45.5,-36.605419,174.786453,1,False
esp32_device_001,2026-03-30T12:20:13+13:00,50.4,-36.6059,174.78595,1,False
esp32_device_001,2026-03-30T12:20:18+13:00,59.2,-36.606438,174.785492,1,False
esp32_device_001,2026-03-30T12:20:23+13:00,65.1,-36.606956,174.785034,1,False
esp32_device_001,2026-03-30T12:20:28+13:00,68,-36.607513,174.784531,1,False
esp32_device_001,2026-03-30T12:20:33+13:00,66.6,-36.608086,174.784012,1,False
esp32_device_001,2026-03-30T12:20:38+13:00,63.3,-36.608685,174.783478,1,False
esp32_device_001,2026-03-30T12:20:43+13:00,63.5,-36.609268,174.782928,1,False
esp32_device_001,2026-03-30T12:20:48+13:00,64,-36.609665,174.782196,1,False
esp32_device_001,2026-03-30T12:20:53+13:00,66.1,-36.609928,174.781357,1,False
esp32_device_001,2026-03-30T12:20:58+13:00,71.3,-36.610367,174.780655,1,False
esp32_device_001,2026-03-30T12:21:03+13:00,77.5,-36.611,174.780304,1,False
esp32_device_001,2026-03-30T12:21:08+13:00,78.2,-36.611481,174.779938,1,False
esp32_device_001,2026-03-30T12:21:13+13:00,78.1,-36.611744,174.779663,1,False
esp32_device_001,2026-03-30T12:21:18+13:00,76.8,-36.611809,174.779175,1,False
esp32_device_001,2026-03-30T12:21:23+13:00,74.7,-36.611954,174.778442,1,False
esp32_device_001,2026-03-30T12:21:28+13:00,70.8,-36.612183,174.777695,1,False
esp32_device_001,2026-03-30T12:21:33+13:00,70.7,-36.61248,174.777084,1,False
esp32_device_001,2026-03-30T12:21:38+13:00,71,-36.612785,174.776489,1,False
esp32_device_001,2026-03-30T12:21:43+13:00,70.2,-36.613091,174.775864,1,False
esp32_device_001,2026-03-30T12:21:48+13:00,73.2,-36.613499,174.77533,1,False
esp32_device_001,2026-03-30T12:21:53+13:00,75.7,-36.614044,174.775024,1,False
esp32_device_001,2026-03-30T12:21:58+13:00,77,-36.614666,174.774963,1,False
esp32_device_001,2026-03-30T12:22:03+13:00,77.5,-36.615265,174.774918,1,False
esp32_device_001,2026-03-30T12:22:08+13:00,76.6,-36.615803,174.774689,1,False
esp32_device_001,2026-03-30T12:22:13+13:00,75.5,-36.616299,174.774338,1,False
esp32_device_001,2026-03-30T12:22:18+13:00,72.9,-36.61684,174.774048,1,False
esp32_device_001,2026-03-30T12:22:23+13:00,68.9,-36.617413,174.773987,1,False
esp32_device_001,2026-03-30T12:22:28+13:00,65.8,-36.617947,174.774033,1,False
esp32_device_001,2026-03-30T12:22:33+13:00,61.2,-36.618511,174.774033,1,False
esp32_device_001,2026-03-30T12:22:38+13:00,55,-36.619068,174.773956,1,False
esp32_device_001,2026-03-30T12:22:43+13:00,50.5,-36.619617,174.773743,1,False
esp32_device_001,2026-03-30T12:22:48+13:00,42.2,-36.620197,174.773651,1,False
esp32_device_001,2026-03-30T12:22:53+13:00,34,-36.620758,174.773575,1,False
esp32_device_001,2026-03-30T12:22:58+13:00,32.1,-36.62125,174.773178,1,False
esp32_device_001,2026-03-30T12:23:03+13:00,28.9,-36.621655,174.772568,1,False
esp32_device_001,2026-03-30T12:23:08+13:00,28.4,-36.622131,174.772064,1,False
esp32_device_001,2026-03-30T12:23:13+13:00,31.2,-36.622612,174.771576,1,False
esp32_device_001,2026-03-30T12:23:18+13:00,34.7,-36.623096,174.771072,1,False
esp32_device_001,2026-03-30T12:23:23+13:00,37.5,-36.623585,174.770569,1,False
