dev_esp32,timestamp,altitude,latitude,longitude,journey_id
esp32_device_001,2025-11-15T07:43:03+13:00,46.8,-36.603783,174.802231,1
esp32_device_001,2025-11-15T07:43:08+13:00,52.7,-36.60363,174.802048,1
esp32_device_001,2025-11-15T07:43:13+13:00,54.2,-36.603485,174.801559,1
esp32_device_001,2025-11-15T07:43:18+13:00,55.1,-36.603317,174.800888,1
esp32_device_001,2025-11-15T07:43:23+13:00,54.6,-36.603134,174.800171,1
esp32_device_001,2025-11-15T07:43:28+13:00,53.6,-36.603081,174.799423,1
esp32_device_001,2025-11-15T07:43:33+13:00,53.5,-36.603394,174.798782,1
esp32_device_001,2025-11-15T07:43:38+13:00,53.5,-36.603745,174.798126,1
esp32_device_001,2025-11-15T07:43:43+13:00,54.6,-36.604111,174.79744,1
esp32_device_001,2025-11-15T07:43:48+13:00,55.1,-36.6045,174.796753,1
esp32_device_001,2025-11-15T07:43:53+13:00,54.6,-36.604755,174.796005,1
esp32_device_001,2025-11-15T07:43:58+13:00,51.1,-36.604919,174.795197,1
esp32_device_001,2025-11-15T07:44:03+13:00,45.5,-36.605083,174.794388,1
esp32_device_001,2025-11-15T07:44:08+13:00,40.2,-36.60519,174.793594,1
esp32_device_001,2025-11-15T07:44:13+13:00,32.2,-36.605103,174.792816,1
esp32_device_001,2025-11-15T07:44:18+13:00,23.8,-36.605007,174.792007,1
esp32_device_001,2025-11-15T07:44:23+13:00,21.1,-36.604912,174.791229,1
esp32_device_001,2025-11-15T07:44:28+13:00,23.2,-36.604858,174.790466,1
esp32_device_001,2025-11-15T07:44:33+13:00,26.7,-36.604942,174.789703,1
esp32_device_001,2025-11-15T07:44:38+13:00,31.3,-36.605049,174.78891,1
esp32_device_001,2025-11-15T07:44:43+13:00,35.6,-36.605152,174.788132,1
esp32_device_001,2025-11-15T07:44:48+13:00,42.8,-36.605251,174.787338,1
esp32_device_001,2025-11-15T07:44:53+13:00,49.7,-36.605412,174.786621,1
esp32_device_001,2025-11-15T07:44:58+13:00,54.8,-36.605843,174.786057,1
esp32_device_001,2025-11-15T07:45:03+13:00,60.5,-36.606388,174.785568,1
esp32_device_001,2025-11-15T07:45:08+13:00,65.8,-36.606922,174.785095,1
esp32_device_001,2025-11-15T07:45:13+13:00,69.8,-36.607483,174.784576,1
esp32_device_001,2025-11-15T07:45:18+13:00,69,-36.608093,174.784027,1
esp32_device_001,2025-11-15T07:45:23+13:00,65.8,-36.608707,174.783478,1
esp32_device_001,2025-11-15T07:45:28+13:00,66.8,-36.609291,174.782928,1
esp32_device_001,2025-11-15T07:45:33+13:00,68.7,-36.609684,174.782196,1
esp32_device_001,2025-11-15T07:45:38+13:00,71.4,-36.609951,174.781372,1
esp32_device_001,2025-11-15T07:45:43+13:00,76.1,-36.61034,174.780701,1
esp32_device_001,2025-11-15T07:45:48+13:00,80.1,-36.610924,174.78035,1
esp32_device_001,2025-11-15T07:45:53+13:00,82,-36.611404,174.780029,1
esp32_device_001,2025-11-15T07:45:58+13:00,82.4,-36.611691,174.779724,1
esp32_device_001,2025-11-15T07:46:03+13:00,82.5,-36.611786,174.779404,1
esp32_device_001,2025-11-15T07:46:08+13:00,81.6,-36.611897,174.778839,1
esp32_device_001,2025-11-15T07:46:13+13:00,79.9,-36.612061,174.778137,1
esp32_device_001,2025-11-15T07:46:18+13:00,79.1,-36.612354,174.77742,1
esp32_device_001,2025-11-15T07:46:23+13:00,80.4,-36.612694,174.776749,1
esp32_device_001,2025-11-15T07:46:28+13:00,81.4,-36.613026,174.776093,1
esp32_device_001,2025-11-15T07:46:33+13:00,83.6,-36.6134,174.775467,1
esp32_device_001,2025-11-15T07:46:38+13:00,84.9,-36.613945,174.775055,1
esp32_device_001,2025-11-15T07:46:43+13:00,83.3,-36.614613,174.774963,1
esp32_device_001,2025-11-15T07:46:48+13:00,83.6,-36.61528,174.774933,1
esp32_device_001,2025-11-15T07:46:53+13:00,83.3,-36.615894,174.774643,1
esp32_device_001,2025-11-15T07:46:58+13:00,82.8,-36.616478,174.774231,1
esp32_device_001,2025-11-15T07:47:03+13:00,78.3,-36.617115,174.773987,1
esp32_device_001,2025-11-15T07:47:08+13:00,72.5,-36.617802,174.774017,1
esp32_device_001,2025-11-15T07:47:13+13:00,66.3,-36.618443,174.774033,1
esp32_device_001,2025-11-15T07:47:18+13:00,59.5,-36.619019,174.773972,1
esp32_device_001,2025-11-15T07:47:23+13:00,54.7,-36.619587,174.773773,1
esp32_device_001,2025-11-15T07:47:28+13:00,47.9,-36.620197,174.773651,1
esp32_device_001,2025-11-15T07:47:33+13:00,41.2,-36.620808,174.773529,1
esp32_device_001,2025-11-15T07:47:38+13:00,34,-36.621277,174.773102,1
esp32_device_001,2025-11-15T07:47:43+13:00,28,-36.621685,174.772522,1
esp32_device_001,2025-11-15T07:47:48+13:00,30.3,-36.622181,174.772018,1
esp32_device_001,2025-11-15T07:47:53+13:00,33.6,-36.622669,174.7715,1
esp32_device_001,2025-11-15T07:47:58+13:00,37.5,-36.623188,174.770966,1
