dev_esp32,timestamp,altitude,latitude,longitude,journey_id,synthetic
esp32_device_001,2025-11-28T09:15:37+13:00,55.4,-36.604755,174.802689,1,False
esp32_device_001,2025-11-28T09:15:42+13:00,55.9,-36.60474,174.802719,1,False
esp32_device_001,2025-11-28T09:15:47+13:00,56.8,-36.604664,174.802734,1,False
esp32_device_001,2025-11-28T09:15:52+13:00,56.5,-36.604427,174.802567,1,False
esp32_device_001,2025-11-28T09:15:57+13:00,55.6,-36.604042,174.802322,1,False
esp32_device_001,2025-11-28T09:16:02+13:00,56.3,-36.603718,174.802139,1,False
esp32_device_001,2025-11-28T09:16:07+13:00,56,-36.603577,174.801773,1,False
esp32_device_001,2025-11-28T09:16:12+13:00,55.8,-36.603432,174.801132,1,False
esp32_device_001,2025-11-28T09:16:17+13:00,55.6,-36.603252,174.800369,1,False
esp32_device_001,2025-11-28T09:16:22+13:00,55.6,-36.603092,174.799637,1,False
esp32_device_001,2025-11-28T09:16:27+13:00,56.3,-36.603294,174.798965,1,False
esp32_device_001,2025-11-28T09:16:32+13:00,55.5,-36.603664,174.798279,1,False
esp32_device_001,2025-11-28T09:16:37+13:00,55.3,-36.604031,174.797592,1,False
esp32_device_001,2025-11-28T09:16:42+13:00,53,-36.604412,174.796906,1,False
esp32_device_001,2025-11-28T09:16:47+13:00,51.1,-36.604744,174.796143,1,False
esp32_device_001,2025-11-28T09:16:52+13:00,44.9,-36.604912,174.795303,1,False
esp32_device_001,2025-11-28T09:16:57+13:00,39.8,-36.605087,174.794434,1,False
esp32_device_001,2025-11-28T09:17:02+13:00,33.9,-36.605206,174.793594,1,False
esp32_device_001,2025-11-28T09:17:07+13:00,27.5,-36.605114,174.79274,1,False
esp32_device_001,2025-11-28T09:17:12+13:00,18.1,-36.605007,174.791855,1,False
esp32_device_001,2025-11-28T09:17:17+13:00,17.4,-36.604908,174.790939,1,False
esp32_device_001,2025-11-28T09:17:22+13:00,22.4,-36.604912,174.790054,1,False
esp32_device_001,2025-11-28T09:17:27+13:00,27.7,-36.605034,174.789215,1,False
esp32_device_001,2025-11-28T09:17:32+13:00,32.8,-36.605137,174.788391,1,False
esp32_device_001,2025-11-28T09:17:37+13:00,40.5,-36.605225,174.787567,1,False
esp32_device_001,2025-11-28T09:17:42+13:00,48.6,-36.605362,174.786774,1,False
esp32_device_001,2025-11-28T09:17:47+13:00,55.6,-36.605732,174.786148,1,False
esp32_device_001,2025-11-28T09:17:52+13:00,60.3,-36.606285,174.78566,1,False
esp32_device_001,2025-11-28T09:17:57+13:00,67.1,-36.606834,174.785172,1,False
esp32_device_001,2025-11-28T09:18:02+13:00,69.6,-36.607372,174.784683,1,False
esp32_device_001,2025-11-28T09:18:07+13:00,68.3,-36.607937,174.784164,1,False
esp32_device_001,2025-11-28T09:18:12+13:00,64.5,-36.608524,174.783646,1,False
esp32_device_001,2025-11-28T09:18:17+13:00,62.5,-36.609127,174.783112,1,False
esp32_device_001,2025-11-28T09:18:22+13:00,65.3,-36.609608,174.782425,1,False
esp32_device_001,2025-11-28T09:18:27+13:00,68.4,-36.609898,174.781586,1,False
esp32_device_001,2025-11-28T09:18:32+13:00,75.3,-36.610218,174.780838,1,False
esp32_device_001,2025-11-28T09:18:37+13:00,79.8,-36.610767,174.780411,1,False
esp32_device_001,2025-11-28T09:18:42+13:00,82.8,-36.611298,174.780121,1,False
esp32_device_001,2025-11-28T09:18:47+13:00,83,-36.61166,174.779755,1,False
esp32_device_001,2025-11-28T09:18:52+13:00,82.1,-36.611797,174.779434,1,False
esp32_device_001,2025-11-28T09:18:57+13:00,80.1,-36.611893,174.778915,1,False
esp32_device_001,2025-11-28T09:19:02+13:00,77.9,-36.612019,174.77832,1,False
esp32_device_001,2025-11-28T09:19:07+13:00,76.6,-36.612225,174.777725,1,False
esp32_device_001,2025-11-28T09:19:12+13:00,77,-36.612511,174.77713,1,False
esp32_device_001,2025-11-28T09:19:17+13:00,79,-36.612789,174.77655,1,False
esp32_device_001,2025-11-28T09:19:22+13:00,80.9,-36.613049,174.776031,1,False
esp32_device_001,2025-11-28T09:19:27+13:00,83.1,-36.61335,174.775497,1,False
esp32_device_001,2025-11-28T09:19:32+13:00,84.8,-36.613815,174.775101,1,False
esp32_device_001,2025-11-28T09:19:37+13:00,83.5,-36.614376,174.774933,1,False
esp32_device_001,2025-11-28T09:19:42+13:00,81.1,-36.614922,174.774918,1,False
esp32_device_001,2025-11-28T09:19:47+13:00,80.1,-36.615433,174.774857,1,False
esp32_device_001,2025-11-28T09:19:52+13:00,78.7,-36.615955,174.774567,1,False
esp32_device_001,2025-11-28T09:19:57+13:00,77.3,-36.616478,174.774216,1,False
esp32_device_001,2025-11-28T09:20:02+13:00,73,-36.61697,174.773987,1,False
esp32_device_001,2025-11-28T09:20:07+13:00,67.5,-36.617485,174.773972,1,False
esp32_device_001,2025-11-28T09:20:12+13:00,63.3,-36.618023,174.774033,1,False
esp32_device_001,2025-11-28T09:20:17+13:00,58.7,-36.618576,174.774017,1,False
esp32_device_001,2025-11-28T09:20:22+13:00,53.1,-36.619152,174.773926,1,False
esp32_device_001,2025-11-28T09:20:27+13:00,47.9,-36.619671,174.773743,1,False
esp32_device_001,2025-11-28T09:20:32+13:00,42.8,-36.62019,174.773651,1,False
esp32_device_001,2025-11-28T09:20:37+13:00,38.2,-36.620667,174.77356,1,False
esp32_device_001,2025-11-28T09:20:42+13:00,35.1,-36.620991,174.773438,1,False
esp32_device_001,2025-11-28T09:20:47+13:00,33.4,-36.621193,174.773239,1,False
esp32_device_001,2025-11-28T09:20:52+13:00,28.9,-36.621346,174.77301,1,False
esp32_device_001,2025-11-28T09:20:57+13:00,25.2,-36.621506,174.772766,1,False
esp32_device_001,2025-11-28T09:21:02+13:00,24.6,-36.621674,174.772552,1,False
esp32_device_001,2025-11-28T09:21:07+13:00,24.2,-36.621895,174.772308,1,False
esp32_device_001,2025-11-28T09:21:12+13:00,24.7,-36.622139,174.772064,1,False
esp32_device_001,2025-11-28T09:21:17+13:00,27.7,-36.622406,174.77179,1,False
