dev_esp32,timestamp,altitude,latitude,longitude
esp32_device_001,2025-10-21T08:24:29+13:00,61.7,-36.604771,174.802643
esp32_device_001,2025-10-21T08:24:34+13:00,60.5,-36.604759,174.802673
esp32_device_001,2025-10-21T08:24:39+13:00,57.7,-36.604774,174.802673
esp32_device_001,2025-10-21T08:24:44+13:00,56.8,-36.604774,174.802658
esp32_device_001,2025-10-21T08:24:49+13:00,57.7,-36.604774,174.802643
esp32_device_001,2025-10-21T08:24:54+13:00,58,-36.604778,174.802628
esp32_device_001,2025-10-21T08:24:59+13:00,58,-36.604771,174.802612
esp32_device_001,2025-10-21T08:25:04+13:00,59.8,-36.604763,174.802597
esp32_device_001,2025-10-21T08:25:09+13:00,60.6,-36.604763,174.802582
esp32_device_001,2025-10-21T08:25:14+13:00,61.2,-36.604763,174.802582
esp32_device_001,2025-10-21T08:25:19+13:00,61.4,-36.604763,174.802582
esp32_device_001,2025-10-21T08:25:24+13:00,62.5,-36.604767,174.802582
esp32_device_001,2025-10-21T08:25:29+13:00,63.1,-36.604767,174.802567
esp32_device_001,2025-10-21T08:25:34+13:00,63.3,-36.604767,174.802567
esp32_device_001,2025-10-21T09:02:51+13:00,56.1,-36.604786,174.802628
esp32_device_001,2025-10-21T09:03:01+13:00,54.7,-36.604813,174.802567
esp32_device_001,2025-10-21T13:55:33+13:00,74.4,-36.604866,174.80246
esp32_device_001,2025-10-21T13:55:38+13:00,72.3,-36.60487,174.802475
esp32_device_001,2025-10-21T13:55:43+13:00,71.7,-36.60487,174.802475
esp32_device_001,2025-10-21T13:55:48+13:00,72.1,-36.60487,174.802475
esp32_device_001,2025-10-21T13:55:53+13:00,72.9,-36.60487,174.802475
esp32_device_001,2025-10-21T13:55:58+13:00,73.3,-36.604874,174.802475
esp32_device_001,2025-10-21T13:56:03+13:00,73.8,-36.604877,174.80249
esp32_device_001,2025-10-21T13:56:08+13:00,74.6,-36.604881,174.80249
esp32_device_001,2025-10-21T13:56:13+13:00,75.9,-36.604885,174.80249
esp32_device_001,2025-10-21T13:56:18+13:00,76.2,-36.604889,174.80249
esp32_device_001,2025-10-21T13:56:23+13:00,77.4,-36.604889,174.802505
esp32_device_001,2025-10-21T13:56:28+13:00,77.5,-36.604893,174.802505
esp32_device_001,2025-10-21T13:56:33+13:00,77.3,-36.604893,174.802505
esp32_device_001,2025-10-21T13:56:38+13:00,77.2,-36.604893,174.802505
esp32_device_001,2025-10-21T13:56:43+13:00,76.7,-36.604893,174.802505
esp32_device_001,2025-10-21T13:56:48+13:00,76.5,-36.604897,174.802521
esp32_device_001,2025-10-21T13:56:53+13:00,76.2,-36.604893,174.802521
esp32_device_001,2025-10-21T13:56:58+13:00,76.6,-36.604893,174.802521
esp32_device_001,2025-10-21T13:57:03+13:00,76.7,-36.604893,174.802521
esp32_device_001,2025-10-21T13:57:08+13:00,76.6,-36.604893,174.802521
esp32_device_001,2025-10-21T13:57:13+13:00,76.2,-36.604889,174.802521
esp32_device_001,2025-10-21T13:57:18+13:00,76.2,-36.604889,174.802521
esp32_device_001,2025-10-21T13:57:23+13:00,76.2,-36.604893,174.802521
esp32_device_001,2025-10-21T13:57:28+13:00,76,-36.604889,174.802521
esp32_device_001,2025-10-21T13:57:33+13:00,76.4,-36.604889,174.802521
esp32_device_001,2025-10-21T13:57:38+13:00,76.3,-36.604889,174.802521
esp32_device_001,2025-10-21T13:57:43+13:00,76.4,-36.604885,174.802521
esp32_device_001,2025-10-21T13:57:48+13:00,76.4,-36.604885,174.802521
esp32_device_001,2025-10-21T13:57:53+13:00,76.2,-36.604885,174.802521
esp32_device_001,2025-10-21T13:57:58+13:00,76.1,-36.604885,174.802521
esp32_device_001,2025-10-21T13:58:03+13:00,75.8,-36.604889,174.802521
esp32_device_001,2025-10-21T13:58:08+13:00,75,-36.604889,174.802521
esp32_device_001,2025-10-21T13:58:13+13:00,75.1,-36.604885,174.802521
esp32_device_001,2025-10-21T13:58:18+13:00,74.6,-36.604877,174.802521
esp32_device_001,2025-10-21T13:58:23+13:00,74.6,-36.604874,174.802521
esp32_device_001,2025-10-21T13:58:28+13:00,73.8,-36.604874,174.802505
esp32_device_001,2025-10-21T13:58:33+13:00,73.6,-36.60487,174.802536
esp32_device_001,2025-10-21T13:58:38+13:00,72.6,-36.604832,174.802597
esp32_device_001,2025-10-21T13:58:43+13:00,71.3,-36.604801,174.802658
esp32_device_001,2025-10-21T13:58:48+13:00,70.1,-36.604778,174.802704
esp32_device_001,2025-10-21T13:58:53+13:00,68.7,-36.604706,174.802734
esp32_device_001,2025-10-21T13:58:58+13:00,67.9,-36.604465,174.802582
esp32_device_001,2025-10-21T13:59:03+13:00,67.5,-36.604057,174.802322
esp32_device_001,2025-10-21T13:59:08+13:00,66.8,-36.603767,174.80217
esp32_device_001,2025-10-21T13:59:13+13:00,64.2,-36.603622,174.801895
esp32_device_001,2025-10-21T13:59:18+13:00,62.8,-36.603493,174.801361
esp32_device_001,2025-10-21T13:59:23+13:00,62.4,-36.603333,174.800659
esp32_device_001,2025-10-21T13:59:28+13:00,62.2,-36.603142,174.799911
esp32_device_001,2025-10-21T13:59:33+13:00,61.9,-36.603195,174.79921
esp32_device_001,2025-10-21T13:59:38+13:00,62,-36.603558,174.798538
esp32_device_001,2025-10-21T13:59:43+13:00,61.5,-36.603951,174.797821
esp32_device_001,2025-10-21T13:59:48+13:00,61,-36.604347,174.797073
esp32_device_001,2025-10-21T13:59:53+13:00,60,-36.604706,174.796341
esp32_device_001,2025-10-21T13:59:58+13:00,56.6,-36.604877,174.795547
esp32_device_001,2025-10-21T14:00:03+13:00,52.9,-36.605042,174.794724
esp32_device_001,2025-10-21T14:00:08+13:00,48.6,-36.605202,174.793869
esp32_device_001,2025-10-21T14:00:13+13:00,40.5,-36.605141,174.792999
esp32_device_001,2025-10-21T14:00:18+13:00,30.6,-36.605038,174.792145
esp32_device_001,2025-10-21T14:00:23+13:00,26.5,-36.604939,174.79126
esp32_device_001,2025-10-21T14:00:28+13:00,30.8,-36.604885,174.790421
esp32_device_001,2025-10-21T14:00:33+13:00,35.7,-36.604973,174.789612
esp32_device_001,2025-10-21T14:00:38+13:00,41.1,-36.605087,174.788803
esp32_device_001,2025-10-21T14:00:43+13:00,46.7,-36.605194,174.78801
esp32_device_001,2025-10-21T14:00:48+13:00,52.4,-36.605293,174.787262
esp32_device_001,2025-10-21T14:00:53+13:00,58.1,-36.605465,174.786591
esp32_device_001,2025-10-21T14:00:58+13:00,63.3,-36.605862,174.786057
esp32_device_001,2025-10-21T14:01:03+13:00,68.3,-36.606377,174.785583
esp32_device_001,2025-10-21T14:01:08+13:00,73.1,-36.606888,174.785141
esp32_device_001,2025-10-21T14:01:13+13:00,75.1,-36.607426,174.784653
esp32_device_001,2025-10-21T14:01:18+13:00,74,-36.608009,174.784103
esp32_device_001,2025-10-21T14:01:23+13:00,70.4,-36.60865,174.783539
esp32_device_001,2025-10-21T14:01:28+13:00,69.7,-36.609276,174.782959
esp32_device_001,2025-10-21T14:01:33+13:00,74.1,-36.609715,174.782196
esp32_device_001,2025-10-21T14:01:38+13:00,77.8,-36.609989,174.781326
esp32_device_001,2025-10-21T14:01:43+13:00,82.6,-36.610428,174.78064
esp32_device_001,2025-10-21T14:01:48+13:00,84.2,-36.611038,174.780289
esp32_device_001,2025-10-21T14:01:53+13:00,85.7,-36.611511,174.779922
esp32_device_001,2025-10-21T14:01:58+13:00,86.3,-36.611782,174.779648
esp32_device_001,2025-10-21T14:02:03+13:00,86.1,-36.611835,174.779236
esp32_device_001,2025-10-21T14:02:08+13:00,85.9,-36.611958,174.778595
esp32_device_001,2025-10-21T14:02:13+13:00,84.9,-36.61219,174.777802
esp32_device_001,2025-10-21T14:02:18+13:00,84.6,-36.612576,174.777023
esp32_device_001,2025-10-21T14:02:23+13:00,86.3,-36.612968,174.776245
esp32_device_001,2025-10-21T14:02:28+13:00,88.6,-36.613369,174.775528
