dev_esp32,timestamp,altitude,latitude,longitude,journey_id
esp32_device_001,2025-09-30T15:54:06+13:00,40.4,-36.604847,174.802475,1
esp32_device_001,2025-09-30T15:54:11+13:00,36.3,-36.604851,174.80249,1
esp32_device_001,2025-09-30T15:54:16+13:00,50.2,-36.604855,174.802505,1
esp32_device_001,2025-09-30T15:54:21+13:00,46.9,-36.604855,174.80249,1
esp32_device_001,2025-09-30T15:54:26+13:00,44.9,-36.604855,174.802505,1
esp32_device_001,2025-09-30T15:54:31+13:00,43.3,-36.604855,174.802505,1
esp32_device_001,2025-09-30T15:54:36+13:00,57.8,-36.604839,174.802521,1
esp32_device_001,2025-09-30T15:54:41+13:00,63.5,-36.604836,174.802521,1
esp32_device_001,2025-09-30T15:54:46+13:00,65.1,-36.604832,174.802521,1
esp32_device_001,2025-09-30T15:54:51+13:00,64.1,-36.604832,174.802521,1
esp32_device_001,2025-09-30T15:54:56+13:00,64,-36.604832,174.802521,1
esp32_device_001,2025-09-30T15:55:01+13:00,63.5,-36.604832,174.802521,1
esp32_device_001,2025-09-30T15:55:06+13:00,63.3,-36.604828,174.802521,1
esp32_device_001,2025-09-30T15:55:11+13:00,62.5,-36.604828,174.802521,1
esp32_device_001,2025-09-30T15:55:16+13:00,62.6,-36.604828,174.802521,1
esp32_device_001,2025-09-30T15:55:21+13:00,60.7,-36.604828,174.802521,1
esp32_device_001,2025-09-30T15:55:26+13:00,60.3,-36.60482,174.802521,1
esp32_device_001,2025-09-30T15:55:31+13:00,58.9,-36.604816,174.802521,1
esp32_device_001,2025-09-30T15:55:36+13:00,58.1,-36.604816,174.802521,1
esp32_device_001,2025-09-30T15:55:41+13:00,57,-36.604816,174.802521,1
esp32_device_001,2025-09-30T15:55:46+13:00,55.7,-36.604816,174.802521,1
esp32_device_001,2025-09-30T15:55:51+13:00,54.8,-36.604816,174.802505,1
esp32_device_001,2025-09-30T15:55:56+13:00,54.1,-36.604816,174.802505,1
esp32_device_001,2025-09-30T15:56:01+13:00,53.5,-36.604816,174.802505,1
esp32_device_001,2025-09-30T15:56:06+13:00,52.3,-36.604816,174.802505,1
esp32_device_001,2025-09-30T15:56:11+13:00,52.4,-36.604813,174.802505,1
esp32_device_001,2025-09-30T15:56:16+13:00,51,-36.604816,174.802505,1
esp32_device_001,2025-09-30T15:56:21+13:00,51.5,-36.604813,174.802521,1
esp32_device_001,2025-09-30T15:56:26+13:00,52.6,-36.604813,174.802521,1
esp32_device_001,2025-09-30T15:56:31+13:00,53.1,-36.604816,174.802536,1
esp32_device_001,2025-09-30T15:56:36+13:00,54.5,-36.604816,174.802536,1
esp32_device_001,2025-09-30T15:56:41+13:00,55.4,-36.604816,174.802536,1
esp32_device_001,2025-09-30T15:56:46+13:00,56.8,-36.604816,174.802536,1
esp32_device_001,2025-09-30T15:56:51+13:00,55.9,-36.604813,174.802536,1
esp32_device_001,2025-09-30T15:56:56+13:00,55.3,-36.604809,174.802536,1
esp32_device_001,2025-09-30T15:57:01+13:00,55.6,-36.604809,174.802536,1
esp32_device_001,2025-09-30T15:57:06+13:00,56.4,-36.604809,174.802536,1
esp32_device_001,2025-09-30T15:57:11+13:00,56.2,-36.604809,174.802536,1
esp32_device_001,2025-09-30T15:57:16+13:00,56.3,-36.604809,174.802536,1
esp32_device_001,2025-09-30T16:14:59+13:00,87.9,-36.604866,174.80249,2
esp32_device_001,2025-09-30T16:15:04+13:00,51.5,-36.60479,174.802582,2
esp32_device_001,2025-09-30T16:15:09+13:00,52.9,-36.60479,174.802597,2
esp32_device_001,2025-09-30T16:15:14+13:00,53.1,-36.604786,174.802597,2
esp32_device_001,2025-09-30T16:15:19+13:00,52.7,-36.604782,174.802597,2
esp32_device_001,2025-09-30T16:15:24+13:00,51.6,-36.604797,174.802551,2
esp32_device_001,2025-09-30T16:15:29+13:00,51.5,-36.604801,174.802551,2
esp32_device_001,2025-09-30T16:15:34+13:00,53.4,-36.604813,174.802521,2
esp32_device_001,2025-09-30T16:15:39+13:00,54.8,-36.604824,174.802521,2
esp32_device_001,2025-09-30T16:15:44+13:00,58.4,-36.604828,174.802505,2
esp32_device_001,2025-09-30T16:15:49+13:00,61.5,-36.604839,174.802505,2
esp32_device_001,2025-09-30T16:15:54+13:00,63.5,-36.604843,174.80249,2
esp32_device_001,2025-09-30T16:15:59+13:00,65.8,-36.604851,174.80249,2
esp32_device_001,2025-09-30T16:16:04+13:00,68,-36.604858,174.80249,2
esp32_device_001,2025-09-30T16:16:09+13:00,71.3,-36.604866,174.802475,2
esp32_device_001,2025-09-30T16:16:14+13:00,74.2,-36.604874,174.802475,2
esp32_device_001,2025-09-30T16:16:19+13:00,76.5,-36.604881,174.802475,2
esp32_device_001,2025-09-30T16:16:24+13:00,78.2,-36.604889,174.80246,2
esp32_device_001,2025-09-30T16:16:29+13:00,78.8,-36.604893,174.80246,2
esp32_device_001,2025-09-30T16:16:34+13:00,80.1,-36.604897,174.80246,2
