dev_esp32,timestamp,altitude,latitude,longitude
esp32_device_001,2026-03-19T12:53:36+13:00,50.9,-36.604755,174.802536
esp32_device_001,2026-03-19T12:53:41+13:00,51.9,-36.604752,174.802551
esp32_device_001,2026-03-19T12:53:46+13:00,52.7,-36.604752,174.802551
esp32_device_001,2026-03-19T12:53:51+13:00,51.6,-36.604752,174.802551
esp32_device_001,2026-03-19T12:53:56+13:00,50.8,-36.604725,174.802551
esp32_device_001,2026-03-19T12:54:01+13:00,50.3,-36.604713,174.802551
esp32_device_001,2026-03-19T12:54:06+13:00,56.3,-36.604679,174.802567
esp32_device_001,2026-03-19T12:54:11+13:00,58.8,-36.604668,174.802567
esp32_device_001,2026-03-19T12:54:16+13:00,60.1,-36.604675,174.802582
esp32_device_001,2026-03-19T12:54:21+13:00,60.1,-36.604675,174.802582
esp32_device_001,2026-03-19T12:54:26+13:00,59.8,-36.604675,174.802582
esp32_device_001,2026-03-19T12:54:31+13:00,59.4,-36.604671,174.802582
esp32_device_001,2026-03-19T12:54:36+13:00,58.7,-36.604675,174.802582
esp32_device_001,2026-03-19T12:54:41+13:00,58,-36.604675,174.802582
esp32_device_001,2026-03-19T12:54:46+13:00,57.2,-36.604679,174.802582
esp32_device_001,2026-03-19T12:54:51+13:00,56.3,-36.604683,174.802582
esp32_device_001,2026-03-19T12:54:56+13:00,55.2,-36.604683,174.802582
esp32_device_001,2026-03-19T12:55:01+13:00,54,-36.604691,174.802582
esp32_device_001,2026-03-19T12:55:06+13:00,53.5,-36.604691,174.802582
esp32_device_001,2026-03-19T12:55:11+13:00,53.1,-36.604698,174.802582
esp32_device_001,2026-03-19T12:55:16+13:00,52.3,-36.604702,174.802582
esp32_device_001,2026-03-19T12:55:21+13:00,53.8,-36.60471,174.802582
esp32_device_001,2026-03-19T12:55:26+13:00,55.2,-36.60471,174.802582
esp32_device_001,2026-03-19T12:55:31+13:00,55.9,-36.604713,174.802582
esp32_device_001,2026-03-19T12:55:36+13:00,56.6,-36.604721,174.802582
esp32_device_001,2026-03-19T12:55:41+13:00,57.1,-36.604725,174.802582
esp32_device_001,2026-03-19T12:55:46+13:00,57.6,-36.604729,174.802582
esp32_device_001,2026-03-19T12:55:51+13:00,57.9,-36.604729,174.802582
esp32_device_001,2026-03-19T12:55:56+13:00,58.6,-36.604729,174.802582
esp32_device_001,2026-03-19T12:56:01+13:00,59,-36.604725,174.802582
esp32_device_001,2026-03-19T12:56:06+13:00,57.9,-36.604729,174.802582
esp32_device_001,2026-03-19T12:56:11+13:00,57.8,-36.604729,174.802582
